	sch	sch_date	wmo	wmo_date	delta_days	station	min_date	max_date	records	latitude	longitude	station_name
3606	H9G 	2005-11-30	132	2012-09-30	2496	0-20000-0-57083	1956-08-20	2021-12-31	60128	34.720001220703125	113.72000122070312	ZHENGZHOU
3607	W__ 	1978-12-27	99	1980-01-01	370	0-20000-0-63695	1976-11-10	2001-08-09	3500	0.07999999821186066	37.650001525878906	MERU
3608	W__ 	1981-03-22	4	1981-05-19	58	0-20300-0-63710	1974-07-30	1996-04-12	2960	-0.4000000059604645	35.25	KERICHO
3609	XXX 	1978-12-30	XXX 	1978-12-30	0	0-20000-0-78730	1948-01-05	1997-04-18	12925	14.0	-83.4000015258789	PUERTO CABEZAS
3610	XXX 	1997-09-29	NA	1900-01-01	-1	0-20000-0-91944	1966-11-18	1997-09-29	22657	-18.059999465942383	-140.9499969482422	HAO
3611	XXX 	1987-12-23	NA	1900-01-01	-1	0-20000-0-54094	1956-08-20	1987-12-26	11336	44.58000183105469	129.60000610351562	MUDANJIANG
3612	99	1978-12-29	99	1978-12-29	0	0-20000-0-63714	1960-12-17	1999-09-14	10881	-0.27000001072883606	36.06999969482422	NAKURU
3613	W__ 	1978-12-30	99	1980-02-08	405	0-20000-0-61687	1940-01-01	2021-12-28	57274	13.770000457763672	-13.680000305175781	TAMBACOUNDA
3614	-922	1978-12-28	37	1979-06-01	155	0-20000-0-63729	1963-03-21	1990-07-02	2136	-1.3300000429153442	31.81999969482422	BUKOBA
3615	99	1978-12-29	99	1978-12-29	0	0-20000-0-78741	1927-04-01	2007-06-20	17445	12.149999618530273	-86.30000305175781	MANAGUA A.C.SANDINO
3616	XXX 	1984-06-16	99	1984-06-19	3	0-20000-0-84452	1944-01-19	1987-08-18	4864	-6.7829999923706055	-79.81700134277344	CHICLAYO
3617	VAO 	2006-12-16	37	2007-02-04	50	0-20000-0-40809	1980-07-19	2021-12-26	7562	32.869998931884766	59.20000076293945	BIRJAND
3618	NA 	1965-04-13	NA 	1965-04-13	0	0-20000-0-91601	1943-12-11	1988-06-08	664	3.0299999713897705	172.8000030517578	BUTARITARI
3619	ZRL 	2004-09-25	86	2004-10-21	25	0-20000-0-72402	1943-04-01	2022-01-08	46437	37.93000030517578	-75.43000030517578	WALLOPS ISLAND, VA.
3620	NA	NA	NA	NA	NA	0-20000-0-89574	1991-10-20	1991-10-20	1	1.0	-69.41999816894531	76.5
3621	XXX 	2006-09-30	61	2006-10-01	0	0-20000-0-83554	2002-05-23	2022-01-08	12019	-19.0	-57.66699981689453	CORUMBA (AERO)
3622	NA	NA	NA	NA	NA	0-20000-0-94293	1979-02-07	1981-09-01	20	20.0	-17.1200008392334	152.02
3623	NA 	1978-12-27	NA 	1978-12-27	0	0-20000-0-95719	1978-12-27	1981-07-20	27	-32.22999954223633	148.60000610351562	DUBBO AIRPORT AWS
3624	NA	NA	NA	NA	NA	0-20000-0-65134	1980-07-10	1980-07-10	1	1.0	9.869999885559082	8.9
3625	XXX 	1998-05-04	NA	1900-01-01	-1	0-20000-0-42189	1944-01-01	2021-03-07	24721	28.3700008392334	79.4000015258789	BAREILLY
3626	VNg 	2008-03-29	80	2012-04-12	1475	0-20000-0-78762	1943-03-02	2021-06-03	16481	9.899999618530273	-84.12999725341797	JUAN SANTAMARIA INT. AIRPORT
3627	W__ 	1979-02-02	99	1988-09-28	3526	0-20000-0-96973	1979-02-02	2022-01-08	22536	-7.050000190734863	113.97000122070312	KALIANGET (MADURA IS)
3628	MRr 	1991-07-19	28	1993-09-18	792	0-20000-0-20353	1934-10-12	1993-10-24	31515	76.8499984741211	68.58000183105469	MYS ZELANIYA
3629	NA 	1978-12-09	99	1980-01-05	392	0-20000-0-28552	1973-05-02	2002-07-08	292	56.06999969482422	63.66999816894531	SADRINSK
3630	XXX 	2002-11-22	NA	1900-01-01	-1	0-20000-0-61695	1940-01-01	2018-11-30	50854	12.550000190734863	-16.270000457763672	ZIGUINCHOR
3631	VNg 	2006-05-25	80	2007-02-12	263	0-20000-0-44231	1962-06-12	2022-01-08	22426	49.630001068115234	100.16999816894531	MUREN
3632	VC_ 	1990-07-12	61	2000-11-08	3772	0-20000-0-01152	1942-04-01	2014-11-25	39317	67.26699829101562	14.359000205993652	BODO VI
3633	XXX 	1998-05-04	121	2017-08-29	7057	0-20000-0-42348	1956-02-01	2022-01-08	38121	26.81999969482422	75.80000305175781	JAIPUR / SANGANER
3634	XXX 	1983-07-03	NA	1900-01-01	-1	0-20000-0-48094	1954-07-03	2003-10-24	9274	16.770000457763672	94.7699966430664	PATHEIN
3635	99	1973-09-25	99	1973-09-25	0	0-20000-0-74638	1963-07-01	1980-07-24	1770	34.29999923706055	-103.80000305175781	MELROSE GUNNERY RANGE, NM.
3636	NA	NA	NA	NA	NA	0-20000-0-11130	1980-08-12	1987-01-26	5	5.0	47.58000183105469	12.17
3637	RZ3 	1989-04-02	NA	1900-01-01	-1	0-20000-0-38989	1950-01-09	1996-07-21	21088	35.900001525878906	62.970001220703125	TAGTABAZAR
3638	NA	NA	NA	NA	NA	0-20000-0-30967	1980-08-13	1980-08-13	1	1.0	49.900001525878906	115.75
3639	RZD 	2005-01-07	27	2005-07-01	175	0-20000-0-27995	1951-05-01	2022-01-08	15520	52.97999954223633	49.43000030517578	SAMARA (BEZENCHUK)
3640	NA	NA	NA	NA	NA	0-20000-0-40940	1980-08-20	1981-05-25	2	2.0	34.369998931884766	63.15
3641	NA 	1978-12-30	7	1979-01-01	2	0-20000-0-03316	1948-01-01	1996-03-31	68026	53.49700164794922	-3.058000087738037	CROSBY
3642	H9G 	2006-12-31	133	2016-10-10	3571	0-20000-0-53513	1959-01-01	2021-12-31	44364	40.733001708984375	107.36699676513672	LINHE
3643	H9G 	2006-12-31	132	2016-10-11	3572	0-20000-0-54135	1956-08-20	2021-12-31	45778	43.66999816894531	122.25	TONGLIAO
3644	VC_ 	1994-06-16	61	2000-04-05	2119	0-20001-0-71909	1943-07-02	2021-12-22	55231	63.75	-68.55000305175781	IQALUIT UA, NU
3645	VGG 	2005-12-31	177	2013-09-12	2812	0-20000-0-44259	1962-03-28	2021-05-24	13120	48.06999969482422	114.5	CHOIBALSAN
