#primary_id	ncar_flag	igra2_flag	bufr_flag
0-20000-0-61240          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-72462          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_72462.txt	/raid60/scratch/federico/databases/IGRAv2//USM00072462-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.72462.bfr
# ncar		ALAMOSA, CO.		37.45		254.13		1962-06-04		1975-08-12
# bufr		ALAMOSA, CO.		37.45		-105.87		1962-06-04		1972-12-27
# igra2		ALAMOSA, CO.		37.433		-105.867		1973-01-01		1975-12-31
0-20000-0-88952          	1                        	-1                       	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_88952.txt	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.88952.bfr
# ncar		VERNADSKY		-65.25		295.73		1953-01-03		1985-05-07
# bufr		VERNADSKY		-65.25		-64.26		1958-01-04		1978-12-29
# igra2		-		-		-		-		-
0-20000-0-94182          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-94014          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_94014.txt	/raid60/scratch/federico/databases/IGRAv2//PPM00094014-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.9414.bfr
# ncar		MADANG W.O.		-5.22		145.8		1950-10-10		1995-03-29
# bufr		MADANG W.O.		-5.22		145.8		1957-12-31		1973-12-31
# igra2		MADANG W.O.		-5.217		145.783		1950-01-01		1995-12-31
0-20000-0-94231          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-34114          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-10855          	-1                       	-1                       	1                        	1                        -1	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.10855.bfr
# ncar		-		-		-		-		-
