	Unnamed: 0	date_time	sensor_id	value	source	comment
6156	6156.0	2021-02-06 23:34:17	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
6157	6157.0	2021-02-07 11:36:06	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
6158	6158.0	2021-02-07 17:31:53	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
6168	6168.0	2021-02-12 11:40:42	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
6169	6169.0	2021-02-12 23:31:03	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
6172	6172.0	2021-02-14 11:35:14	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
6173	6173.0	2021-02-14 23:32:23	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
6174	6174.0	2021-02-15 11:34:29	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
6175	6175.0	2021-02-15 23:30:09	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
6180	6180.0	2021-02-18 11:31:09	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
6182	6182.0	2021-02-19 23:30:16	141	2	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  
6183	6183.0	2021-02-20 11:34:51	163	2	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             
