	station_id	WMO_id	station_name	latitude	longitude
202	4771	-999	Ostrov Chetyriohstolbovii	70.63	162.4
203	4772	-999	Ostrov Dikson	73.5	80.4
204	4773	-999	Amderma	69.77	61.75
205	4774	-999	Buhta Tihaya	80.32	52.8
206	4775	-999	Buhta Tiksi	71.58	128.92
207	4776	-999	Buhta Ugol'naia	63.05	179.32
208	4777	-999	Hatanga	71.98	102.47
209	4778	-999	Mys Cheliuskina	77.72	104.28
210	4779	-999	Mys Shmidta	68.92	180.53
211	4780	-999	Mys Zhelania	76.85	68.58
212	4781	-999	Ostrov Chetyriohstolbovii	70.63	162.4
213	4782	-999	Ostrov Dikson	73.5	80.4
214	4783	-999	Ostrov Kotel'nii	76.0	137.9
215	4786	-999	Dalian	38.9	121.63
216	4787	-999	Dalian	38.9	121.63
217	4788	-999	Incheon	37.47	126.63
218	4789	-999	Depok	-6.37	106.83
219	4790	-999	Changchun	43.87	125.33
220	4791	-999	Hailar	49.22	119.73
221	4792	-999	Jinzhou	41.13	121.12
222	4793	-999	Taonan	45.62	122.85
223	4794	-999	Alauostari (Petsamo)	69.53	31.25
224	4795	-999	Alauostari (Petsamo)	69.53	31.25
225	4796	-999	Ny Alesund (Spitzbergen)	78.93	11.96666667
226	4797	-999	Ny Alesund (Spitzbergen)	78.93	11.96666667
227	4798	-999	Ellendale	45.98	-98.57
228	4799	-999	Broken Arrow	38.03	-95.82
229	4800	-999	Royal Center	40.88	-86.93
230	4801	-999	Groesbeck	31.5	-96.5
231	4802	-999	Fort Omaha	41.3	-95.9
232	4803	-999	Drexel	41.33	-96.27
233	4806	-999	Heard Island	-53.1	73.717
234	4807	-999	Heard Island	-53.0	73.0
235	4808	-999	Macquarie Island	-54.5	158.9
236	4809	-999	Macquarie Island	-54.483	158.933
237	4810	-999	Beira	-19.83	34.85
238	4811	-999	Daressalam	-6.83	39.27
239	4812	-999	Daressalam	-6.83	39.27
240	4813	-999	Inhambane	-23.86	35.38
241	4814	-999	Mombasa	-4.05	39.67
242	4815	-999	Mombasa	-4.05	39.67
243	4816	-999	Mori Bay	-1.3	33.87
244	4817	-999	Shirati	-1.15	34.03
245	4818	-999	Shirati	-1.15	34.03
246	4819	-999	Shirati Coast/ Husseini	-1.13	34.0
247	4820	-999	Shirati Coast/ Husseini	-1.13	34.0
248	4821	-999	Ukara Island	-2.05	33.02
249	4822	-999	Milano	45.47	9.28
250	4823	-999	Maputo	-25.97	32.6
251	4825	-999	Maputo	-25.97	32.6
252	4827	-999	Pemba	-12.97	40.5
253	4828	-999	Inhambane	-23.87	35.38
254	4829	-999	Quelimane	-17.87	36.87
255	4830	-999	Tete	-16.07	33.67
256	4831	-999	Lichinga	-13.27	35.27
257	4832	-999	Lumbo	-15.018	40.67
258	4833	-999	Beira	-19.83	34.85
259	4834	-999	Villa San Cristóbal de La Habana	23.1	-82.43
260	4835	-999	Cochabamba	-17.38	-66.17
261	4836	-999	Guayaramerin	-10.82	-65.37
262	4837	-999	La Paz	-16.5	-68.15
263	4838	-999	Rurrenabaque	-14.45	-67.53
264	4839	-999	Santa Cruz	-17.78	-63.2
265	4840	-999	Trinidad	-14.83	-64.9
266	4841	-999	Yacuiba	-22.03	-63.68
267	4842	-999	Mt. Erebus	-77.65	166.3
268	4843	-999	Alger	36.77	3.05
269	4844	-999	Tamanr?ssat, Tam	22.78	5.53
270	4845	-999	Mount Weather	39.07	-77.88
271	4846	-999	Mount Weather	39.07	-77.88
272	4847	-999	Mount Weather	39.07	-77.88
273	4849	-999	Huron	44.38	-98.23
274	4850	-999	Indianapolis	39.72	-86.28
275	4851	-999	Mount Weather	39.07	-77.88
276	4852	-999	Omaha	41.3	-95.9
277	4854	-999	Nanking	32.05	118.78
278	4855	-999	Nanking	32.05	118.78
279	4856	-999	Peiping	39.9	116.47
280	4857	-999	Peiping	39.9	116.47
281	4858	-999	Sian	34.25	108.93
282	4859	-999	Agra	27.17	78.03
283	4860	-999	Akyab	20.13	92.88
284	4861	-999	Bahrein	26.27	50.63
285	4862	-999	Bait Al Falaj	23.6	58.55
286	4863	-999	Bangalore	12.97	77.6
287	4864	-999	Diamond Harbour	22.18	88.18
288	4865	-999	Gwadar	25.13	62.32
289	4866	-999	Karachi	24.72	66.98
290	4867	-999	Lahore	31.52	74.4
291	4868	-999	Madras (Chennai)	13.07	80.25
292	4869	-999	Muscat	23.62	58.58
293	4870	-999	Peshawar	34.02	71.58
294	4871	-999	Port Blair	11.67	92.72
295	4872	-999	Pune	18.53	73.85
296	4873	-999	Quetta	30.17	67.02
297	4874	-999	Shimla	31.08	77.18
298	4875	-999	Cape Hope's Advance Station	61.08	-69.55
299	4876	-999	Chesterfield Inlet Polar Year Station	63.5	-90.7
300	4877	-999	Coppermine Polar Year Station	67.82	-115.08
301	4878	-999	Meanook Polar Year Station	54.62	-113.33
302	4879	-999	Agudos (San Paulo)	-22.47	-49.0
303	4880	-999	Alicante	38.37	-0.45
304	4937	-999	Sallum	31.57	25.17
305	4939	-999	al-Qahira	30.12	31.4
306	4940	-999	Marsa Matrouh	31.35	27.22
307	4941	-999	Ismailia	30.58	32.27
308	4942	-999	Dekheila/Al Dakhela (Alexandria)	31.11	29.8
309	4943	-999	Aboukir	31.3	30.1
310	4944	-999	Abu Hamad	19.53	33.32
311	4945	-999	Al-Arish	31.07	33.83
312	4946	-999	al-Dakhla	25.5	29.02
313	4947	-999	Al-Dschunaina	13.45	22.45
314	4948	-999	Alexandria Airport	31.2	29.88
315	4949	-999	Al-Fashir	13.62	25.32
316	4950	-999	Almaza, Heliopolis	30.08	31.37
317	4951	-999	Al-Minya	29.75	31.3
318	4952	-999	Al-Ubayyid	13.15	30.23
319	4953	-999	al-W???t al-Ba?r?ya	28.37	28.93
320	4954	-999	Aswan	24.08	32.9
321	4955	-999	Aswan	24.08	32.9
322	4956	-999	Asyut	27.2	31.12
323	4957	-999	Atbara	17.7	33.98
324	4958	-999	Bur Said	31.25	32.3
325	4959	-999	Bur Sudan	19.62	37.22
326	4960	-999	El-Kharga	25.45	30.53
327	4961	-999	Farafra	27.05	27.97
328	4962	-999	Farouk Airport	30.12	31.4
329	4963	-999	Farouk Airport	30.12	31.4
330	4964	-999	Fouad Airport	-999.0	-999.0
331	4965	-999	Hurghada	27.25	33.8
332	4966	-999	Juba	4.87	31.6
333	4967	-999	Kassala	15.38	36.33
334	4968	-999	Khartoum	15.6	32.55
335	4969	-999	Kurima/Karima/Kareima	18.53	31.83
336	4970	-999	Luxor	25.67	32.7
337	4971	-999	Malakal	9.55	31.65
338	4972	-999	Marsa Matrouh	31.35	27.22
339	4973	-999	Sekhetam, Siwa	29.2	25.52
340	4974	-999	Sidi Barrani	31.62	25.93
341	4975	-999	Wadi Halfa	21.8	31.32
342	4976	-999	"""Weathership """"K"""" (Cirrus)"""	47.0	-15.0
343	4977	-999	"""Weathership """"K"""" (Cirrus)"""	47.0	-15.0
344	4978	-999	Apia	-13.82	-171.77
345	4979	-999	Rostock	54.08	12.08
346	4980	-999	Rostock	54.08	12.08
347	4981	-999	Rostock	54.08	12.08
348	4983	-999	Bredene	51.25	2.98
349	4984	-999	Bredene	51.25	2.98
350	4985	-999	St. Michel	51.18	3.2
351	4986	-999	Brocken	51.8	10.62
352	4987	-999	Ilmala	60.2	24.92
353	4988	-999	Berlin	52.47	13.4
354	4989	-999	München	48.13	11.7
355	4995	-999	Kumlinge	60.25	20.78
356	4996	-999	Alexandrovsk	59.16	57.6
357	4999	-999	Helwan	29.88	31.03
358	5000	-999	Helwan	29.88	31.03
359	5001	-999	Luanda	-8.85	13.23
360	5002	-999	Schiphol (Airport)	52.23	4.77
361	5003	-999	Soesterberg	52.13	5.28
362	5004	-999	Prinsenberg	52.17	4.35
363	5004	-999	Prinsenberg	52.17	4.35
364	5005	-999	De Kooy	52.92	4.78
365	5006	-999	De Kooy	52.92	4.78
366	5006	-999	De Kooy	52.92	4.78
367	5007	-999	Soesterberg	52.13	5.28
368	5008	-999	Katwijk	52.22	4.43
369	5009	-999	Reykjavik	67.13	-21.93
370	5013	-999	De Bilt	52.13	5.28
371	5014	-999	Tasiilaaq, Ammasalik	65.6	-37.57
372	5015	-999	Schiphol (Airport)	52.23	4.77
373	5017	-999	Duin Dal	52.12	4.32
374	5018	-999	Soesterberg	52.13	5.28
375	5018	-999	Soesterberg	52.13	5.28
376	5019	-999	Katwijk	52.22	4.43
377	5020	-999	Abbeville	50.13	1.83
378	5410	-999	Berlin-Reinickendorf	52.57	13.33
379	5411	-999	Berlin-Reinickendorf	52.57	13.33
380	5414	-999	Berlin-Reinickendorf	52.57	13.33
381	5415	-999	De Quervain Havn	69.78	-50.37
382	5416	-999	Holsteinborg, Sisimiut	66.93	-53.67
383	5417	-999	Ilulissat (Jakobshavn)	69.22	-51.1
384	5418	-999	Qeqertarsuaq (Godhavn)	69.23	-53.55
385	5419	-999	Holsteinborg, Sisimiut	66.93	-53.67
386	5420	-999	Holsteinborg, Sisimiut	66.93	-53.67
387	5421	-999	Qeqertarsuaq	69.23	-53.55
388	5422	-999	Qeqertarsuaq	69.23	-53.55
