0-20000-0-32061	UADB_windc_032061.nc
0-20000-0-32098	UADB_windc_032098.nc
0-20000-0-32099	UADB_windc_032099.nc
0-20000-0-32165	UADB_windc_032165.nc
0-20000-0-32215	UADB_windc_032215.nc
0-20000-0-32389	UADB_windc_032389.nc
0-20000-0-32477	UADB_windc_032477.nc
0-20000-0-32509	UADB_windc_032509.nc
0-20000-0-32540	UADB_windc_032583.nc
0-20000-0-32562	UADB_windc_032564.nc
0-20000-0-32580	UADB_windc_032540.nc
0-20000-0-32618	UADB_windc_032618.nc
0-20000-0-33008	UADB_windc_033008.nc
0-20000-0-33036	UADB_windc_033036.nc
0-20000-0-33041	UADB_windc_033041.nc
0-20000-0-33317	UADB_windc_033317.nc
0-20000-0-33345	UADB_windc_033345.nc
0-20000-0-33393	UADB_windc_033393.nc
0-20000-0-33506	UADB_trhc_033506.nc
0-20000-0-33587	UADB_trhc_033587.nc
0-20000-0-33631	UADB_windc_033631.nc
0-20000-0-33658	UADB_windc_033658.nc
0-20000-0-33791	UADB_windc_033791.nc
0-20000-0-33815	UADB_windc_033815.nc
0-20000-0-33837	UADB_windc_033837.nc
0-20000-0-33946	UADB_windc_033946.nc
0-20000-0-33966	UADB_windc_033966.nc
0-20000-0-34009	UADB_windc_034009.nc
0-20000-0-34123	UADB_windc_034122.nc
0-20000-0-34139	UADB_windc_034139.nc
0-20000-0-34171	UADB_windc_034172.nc
0-20000-0-34247	UADB_windc_034247.nc
0-20000-0-34300	UADB_windc_034300.nc
0-20000-0-34737	UADB_windc_034737.nc
0-20000-0-34858	UADB_windc_034858.nc
0-20000-0-34866	UADB_windc_034866.nc
0-20000-0-35121	UADB_windc_035121.nc
0-20000-0-35188	UADB_windc_035188.nc
0-20000-0-35229	UADB_windc_035229.nc
0-20000-0-35700	UADB_windc_035700.nc
0-20000-0-35746	UADB_windc_035746.nc
0-20000-0-35796	UADB_windc_035796.nc
0-20000-0-35925	UADB_windc_035925.nc
0-20000-0-36003	UADB_windc_036003.nc
0-20000-0-36096	UADB_windc_036096.nc
0-20000-0-36177	UADB_windc_036177.nc
0-20000-0-36259	UADB_windc_036259.nc
0-20000-0-36397	UADB_windc_036403.nc
0-20000-0-36428	UADB_windc_036421.nc
0-20000-0-36859	UADB_windc_036859.nc
0-20000-0-36870	UADB_windc_036872.nc
0-20000-0-36883	UADB_windc_036880.nc
0-20000-0-36974	UADB_windc_036974.nc
0-20000-0-37004	UADB_trhc_037004.nc
0-20000-0-37472	UADB_windc_037259.nc
0-20000-0-37484	UADB_windc_037484.nc
0-20000-0-37548	UADB_windc_037549.nc
0-20000-0-37575	UADB_windc_037575.nc
0-20000-0-37686	UADB_windc_037686.nc
0-20000-0-37717	UADB_windc_037709.nc
0-20000-0-37736	UADB_windc_037735.nc
0-20000-0-37747	UADB_windc_037747.nc
0-20000-0-37788	UADB_windc_037789.nc
0-20000-0-37864	UADB_windc_037860.nc
0-20000-0-37897	UADB_windc_037897.nc
0-20000-0-37899	UADB_windc_037895.nc
0-20000-0-37936	UADB_windc_037936.nc
0-20000-0-37985	UADB_windc_037985.nc
0-20000-0-38001	UADB_windc_038001.nc
0-20000-0-38062	UADB_windc_038061.nc
0-20000-0-38232	UADB_windc_038232.nc
0-20000-0-38328	UADB_windc_038328.nc
0-20000-0-38353	UADB_windc_038353.nc
0-20000-0-38392	UADB_windc_038392.nc
0-20000-0-38413	UADB_windc_038413.nc
0-20000-0-38457	UADB_windc_038457.nc
0-20000-0-38599	UADB_windc_038599.nc
0-20000-0-38606	UADB_windc_038606.nc
0-20000-0-38613	UADB_windc_038613.nc
0-20000-0-38687	UADB_windc_038687.nc
0-20000-0-38750	UADB_windc_038750.nc
0-20000-0-38836	UADB_windc_038836.nc
0-20000-0-38878	UADB_windc_038879.nc
0-20000-0-38880	UADB_windc_038880.nc
0-20000-0-38927	UADB_windc_038927.nc
0-20000-0-38954	UADB_windc_038954.nc
0-20000-0-38989	UADB_windc_038989.nc
0-20000-0-40001	UADB_windc_040001.nc
0-20000-0-40007	UADB_windc_040007.nc
0-20000-0-40022	UADB_windc_040022.nc
0-20000-0-40030	UADB_windc_040030.nc
0-20000-0-40039	UADB_windc_040039.nc
0-20000-0-40045	UADB_windc_040045.nc
0-20000-0-40100	UADB_windc_040100.nc
0-20000-0-40179	UADB_windc_040179.nc
0-20000-0-40180	UADB_windc_040180.nc
0-20000-0-40186	UADB_windc_040186.nc
0-20000-0-40190	UADB_windc_040191.nc
0-20000-0-40199	UADB_windc_040199.nc
0-20000-0-40226	UADB_windc_040165.nc
0-20000-0-40233	UADB_windc_062338.nc
0-20000-0-40255	UADB_windc_040230.nc
0-20000-0-40265	UADB_windc_040265.nc
0-20000-0-40270	UADB_windc_040270.nc
0-20000-0-40373	UADB_windc_040373.nc
0-20000-0-40375	UADB_windc_040375.nc
0-20000-0-40394	UADB_windc_040394.nc
0-20000-0-40400	UADB_windc_040400.nc
0-20000-0-40416	UADB_windc_040417.nc
0-20000-0-40430	UADB_windc_040430.nc
0-20000-0-40438	UADB_windc_040437.nc
0-20000-0-40582	UADB_windc_040582.nc
0-20000-0-40608	UADB_windc_040608.nc
0-20000-0-40619	UADB_windc_069011.nc
0-20000-0-40627	UADB_windc_069009.nc
0-20000-0-40642	UADB_windc_069100.nc
0-20000-0-40646	UADB_windc_069119.nc
0-20000-0-40650	UADB_windc_040650.nc
0-20000-0-40657	UADB_windc_069038.nc
0-20000-0-40672	UADB_windc_040672.nc
0-20000-0-40676	UADB_windc_040676.nc
0-20000-0-40706	UADB_windc_040706.nc
0-20000-0-40745	UADB_windc_040745.nc
0-20000-0-40754	UADB_windc_040754.nc
0-20000-0-40766	UADB_windc_040766.nc
0-20000-0-40794	UADB_windc_040795.nc
0-20000-0-40800	UADB_windc_040800.nc
0-20000-0-40809	UADB_windc_040809.nc
0-20000-0-40811	UADB_windc_040811.nc
0-20000-0-40821	UADB_windc_040821.nc
0-20000-0-40841	UADB_windc_040841.nc
0-20000-0-40848	UADB_windc_040848.nc
0-20000-0-40856	UADB_windc_040856.nc
0-20000-0-40875	UADB_windc_040875.nc
0-20000-0-40911	UADB_windc_040911.nc
0-20000-0-40914	UADB_windc_040913.nc
0-20000-0-40938	UADB_windc_040938.nc
0-20000-0-40948	UADB_windc_040948.nc
0-20000-0-40980	UADB_windc_040980.nc
0-20000-0-40988	UADB_windc_099883.nc
0-20000-0-40990	UADB_windc_040990.nc
0-20000-0-41020	UADB_windc_041024.nc
0-20000-0-41061	UADB_windc_040495.nc
0-20000-0-41114	UADB_windc_041112.nc
0-20000-0-41141	UADB_windc_041140.nc
0-20000-0-41150	UADB_windc_040427.nc
0-20000-0-41194	UADB_windc_040449.nc
0-20000-0-41217	UADB_windc_041217.nc
0-20000-0-41256	UADB_windc_041256.nc
0-20000-0-41288	UADB_windc_041288.nc
0-20000-0-41316	UADB_windc_041316.nc
0-20000-0-41404	UADB_windc_041404.nc
0-20000-0-41416	UADB_windc_040588.nc
0-20000-0-41431	UADB_windc_041360.nc
0-20000-0-41443	UADB_windc_040586.nc
0-20000-0-41466	UADB_windc_041390.nc
0-20000-0-41506	UADB_windc_041506.nc
0-20000-0-41515	UADB_windc_041515.nc
0-20000-0-41516	UADB_windc_041516.nc
0-20000-0-41517	UADB_windc_041517.nc
0-20000-0-41560	UADB_windc_041560.nc
0-20000-0-41571	UADB_windc_041571.nc
0-20000-0-41598	UADB_windc_041598.nc
0-20000-0-41600	UADB_windc_041600.nc
0-20000-0-41620	UADB_windc_041620.nc
0-20000-0-41624	UADB_windc_041624.nc
0-20000-0-41640	UADB_windc_041640.nc
0-20000-0-41660	UADB_windc_041661.nc
0-20000-0-41675	UADB_windc_041675.nc
0-20000-0-41678	UADB_windc_041678.nc
0-20000-0-41685	UADB_windc_041685.nc
0-20000-0-41696	UADB_windc_041696.nc
0-20000-0-41710	UADB_windc_041710.nc
0-20000-0-41712	UADB_windc_041712.nc
0-20000-0-41715	UADB_windc_041715.nc
0-20000-0-41718	UADB_windc_041718.nc
0-20000-0-41739	UADB_windc_041739.nc
0-20000-0-41744	UADB_windc_041744.nc
0-20000-0-41749	UADB_windc_041749.nc
0-20000-0-41756	UADB_windc_041756.nc
0-20000-0-41764	UADB_windc_041764.nc
0-20000-0-41768	UADB_windc_041768.nc
