primary_id	file
0-20000-0-04312	CC_GL__Network_M__Code_000__StationId_04310__Latitude_81.6__Longitude_-16.67__Elev_40.0__dummy_nan__StationName_NORD__From_1953__To_1972__Nrec_10981__
0-20000-0-04320	CC_GL__Network_M__Code_000__StationId_04320__Latitude_76.7694__Longitude_-18.6681__Elev_11.0__dummy_nan__StationName_DANMARKSHAVN__From_1950__To_2020__Nrec_42754__
0-20000-0-04360	CC_GL__Network_M__Code_000__StationId_04360__Latitude_65.6111__Longitude_-37.6367__Elev_54.0__dummy_nan__StationName_TASIILAQ (AMMASSALIK)__From_1949__To_2020__Nrec_45205__
0-20000-0-04361	CC_GL__Network_X__Code_UAC__StationId_03499__Latitude_65.93__Longitude_-36.68__Elev_57.0__dummy_nan__StationName_IKATEQ__From_1946__To_1947__Nrec_111__
0-20000-0-06011	CC_FO__Network_M__Code_000__StationId_06011__Latitude_62.0231__Longitude_-6.7647__Elev_54.0__dummy_nan__StationName_TORSHAVN__From_1949__To_2020__Nrec_49305__
0-20000-0-06030	CC_DA__Network_M__Code_000__StationId_06030__Latitude_57.1__Longitude_9.867__Elev_3.0__dummy_nan__StationName_FLYVESTATION AALBOR__From_1967__To_1992__Nrec_4824__
0-20000-0-06060	CC_DA__Network_M__Code_000__StationId_06060__Latitude_56.2933__Longitude_9.1139__Elev_52.1__dummy_nan__StationName_FLYVESTATION KARUP__From_1999__To_2020__Nrec_5452__
0-20000-0-06180	KASTRUP__From_1949__To_1962__Nrec_8553__
0-20000-0-06181	CC_DA__Network_M__Code_000__StationId_06181__Latitude_55.767__Longitude_12.533__Elev_40.0__dummy_nan__StationName_JAEGERSBORG__From_1962__To_2006__Nrec_40587__
0-20000-0-06215	CC_NL__Network_M__Code_000__StationId_06210__Latitude_52.167__Longitude_4.433__Elev_1.0__dummy_nan__StationName_VALKENBURG__From_1994__To_2002__Nrec_583__
0-20000-0-06235	CC_NL__Network_M__Code_000__StationId_06235__Latitude_52.9269__Longitude_4.7811__Elev_1.2__dummy_nan__StationName_DE KOOIJ VK__From_1921__To_2014__Nrec_2980__
0-20000-0-06242	CC_NL__Network_M__Code_000__StationId_06242__Latitude_53.25__Longitude_4.917__Elev_4.0__dummy_nan__StationName_VLIELAND__From_1977__To_2002__Nrec_6803__
0-20000-0-06260	CC_NL__Network_M__Code_000__StationId_06260__Latitude_52.0989__Longitude_5.1797__Elev_1.9__dummy_nan__StationName_DE BILT AWS__From_1911__To_2020__Nrec_67460__
0-20000-0-06285	CC_GM__Network_X__Code_UAE__StationId_05645__Latitude_53.58__Longitude_6.68__Elev_0.0__dummy_nan__StationName_BORKUM__From_1919__To_1920__Nrec_184__
0-20000-0-06391	CC_GM__Network_M__Code_000__StationId_10404__Latitude_51.733__Longitude_6.267__Elev_43.0__dummy_nan__StationName_KALKAR__From_1971__To_1978__Nrec_3052__
0-20000-0-06400	CC_BE__Network_M__Code_000__StationId_06400__Latitude_51.083__Longitude_2.65__Elev_9.0__dummy_nan__StationName_KOKSIJDE__From_1999__To_2002__Nrec_311__
0-20000-0-06447	CC_BE__Network_M__Code_000__StationId_06447__Latitude_50.7969__Longitude_4.3581__Elev_99.0__dummy_nan__StationName_UCCLE__From_1949__To_2015__Nrec_42558__
0-20000-0-06458	CC_BE__Network_M__Code_000__StationId_06458__Latitude_50.7456__Longitude_4.7633__Elev_112.8__dummy_nan__StationName_BEAUVECHAIN__From_2005__To_2020__Nrec_5457__
0-20000-0-06476	CC_BE__Network_M__Code_000__StationId_06476__Latitude_50.033__Longitude_5.4__Elev_558.0__dummy_nan__StationName_ST-HUBERT__From_1964__To_2006__Nrec_26357__
0-20000-0-06496	CC_BE__Network_M__Code_000__StationId_06496__Latitude_50.4822__Longitude_6.1814__Elev_565.1__dummy_nan__StationName_ELSENBORN__From_1999__To_2009__Nrec_625__
0-20000-0-06610	CC_SZ__Network_M__Code_000__StationId_06610__Latitude_46.8117__Longitude_6.9425__Elev_490.0__dummy_nan__StationName_PAYERNE__From_1943__To_2019__Nrec_73319__
0-20000-0-06621	CC_GM__Network_M__Code_000__StationId_10934__Latitude_47.65__Longitude_9.4833__Elev_407.0__dummy_nan__StationName_FRIEDRICHSHAFEN__From_1909__To_1954__Nrec_1299__
0-20000-0-07005	CC_FR__Network_M__Code_000__StationId_07005__Latitude_50.133__Longitude_1.833__Elev_77.0__dummy_nan__StationName_ABBEVILLE__From_1974__To_1976__Nrec_116__
0-20000-0-07072	CC_FR__Network_M__Code_000__StationId_07070__Latitude_49.3__Longitude_4.033__Elev_91.0__dummy_nan__StationName_REIMS__From_1974__To_1976__Nrec_179__
0-20000-0-07110	CC_FR__Network_M__Code_000__StationId_07110__Latitude_48.4442__Longitude_-4.4119__Elev_99.0__dummy_nan__StationName_BREST-GUIPAVAS__From_1940__To_2020__Nrec_62145__
0-20000-0-07130	CC_FR__Network_M__Code_000__StationId_07130__Latitude_48.067__Longitude_-1.733__Elev_37.0__dummy_nan__StationName_RENNES__From_1920__To_1996__Nrec_1102__
0-20000-0-07145	CC_FR__Network_M__Code_000__StationId_07145__Latitude_48.7744__Longitude_2.0097__Elev_167.0__dummy_nan__StationName_TRAPPES__From_1949__To_2020__Nrec_57190__
0-20000-0-07156	CC_FR__Network_X__Code_UAE__StationId_05723__Latitude_48.85__Longitude_2.33__Elev_60.0__dummy_nan__StationName_PARIS__From_1920__To_1920__Nrec_270__
0-20000-0-07180	ESSEY__From_1954__To_2010__Nrec_32474__
0-20000-0-07190	CC_FR__Network_M__Code_000__StationId_07190__Latitude_48.55__Longitude_7.6333__Elev_154.0__dummy_nan__StationName_STRASBOURG__From_1920__To_1952__Nrec_1364__
0-20000-0-07222	CC_FR__Network_M__Code_000__StationId_07222__Latitude_47.15__Longitude_-1.6__Elev_27.0__dummy_nan__StationName_NANTES__From_1973__To_1976__Nrec_256__
0-20000-0-07255	CC_FR__Network_M__Code_000__StationId_07255__Latitude_47.067__Longitude_2.367__Elev_161.0__dummy_nan__StationName_BOURGES__From_1973__To_2001__Nrec_3475__
0-20000-0-07266	CC_FR__Network_M__Code_000__StationId_07265__Latitude_47.8__Longitude_3.55__Elev_212.0__dummy_nan__StationName_AUXERRE__From_1974__To_1976__Nrec_185__
0-20000-0-07280	CC_FR__Network_M__Code_000__StationId_07280__Latitude_47.267__Longitude_5.083__Elev_222.0__dummy_nan__StationName_DIJON__From_1974__To_1990__Nrec_234__
0-20000-0-07283	CC_FR__Network_X__Code_UAC__StationId_03602__Latitude_48.07__Longitude_5.03__Elev_310.0__dummy_nan__StationName_CHAUMONT__From_1953__To_1959__Nrec_4616__
0-20000-0-07354	CC_FR__Network_M__Code_000__StationId_07354__Latitude_46.85__Longitude_1.7167__Elev_164.3__dummy_nan__StationName_CHATEAUROUX__From_1957__To_1964__Nrec_5082__
0-20000-0-07412	CC_FR__Network_M__Code_000__StationId_07412__Latitude_45.667__Longitude_-0.317__Elev_30.0__dummy_nan__StationName_COGNAC__From_1974__To_1994__Nrec_356__
0-20000-0-07434	CC_FR__Network_M__Code_000__StationId_07434__Latitude_45.867__Longitude_1.183__Elev_402.0__dummy_nan__StationName_LIMOGES__From_1974__To_1976__Nrec_190__
0-20000-0-07480	CC_FR__Network_M__Code_000__StationId_07480__Latitude_45.717__Longitude_4.95__Elev_200.0__dummy_nan__StationName_LYON-BRON__From_1948__To_1975__Nrec_10582__
