wmo_id	wmo_comments	sch_id	sch_comments
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MVS	 MVS Mixed Vaisala RS80 DigiCORA I, II, or Marwin LoRAN (VCL, 31313=46106) and GPS (VCG, 31313=46108)^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VC5	 VC5 Vaisala RS80 DigiCORA I, II, or Marwin no corr, Omega wind 31313=06105^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=O>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	VC2	 VC2 Vaisala RS80 DigiCORA I, II, or Marwin no corr, RDF wind 31313=06102^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=Ra>
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MrV	 MrV Mixed Russia MARS-2-2 (RRB, 31313=92903 or 02903, night, 0000Z) and Vaisala RS80 LoRAN (VCV, 31313=46105, day, 1200Z)^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	MVT	 MVT Mixed Vaisala RS80 Digi I/II/Marwin LoRAN (VCL, 31313=46106) and GPS (VCG, 46108), RS90 (V9l, 47106 and V9g, 47108)^
61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	Mv4	 Mv4 Mixed Vaisala RS80 DigiCORA I/II/Marwin VLF (VCA, 31313=46105 with wind starting 19970930 1200) and RS80 DigiCORA I/II/Marwin LoRAN (VCL, 31313=46106)^
72	Vaisala RS90/PC-Cora (Finland)                	V9b	 V9b Vaisala RS90 PC Cora auto corr, LoRAN wind 31313=47206^ <F=T403DL,P=Sc,T=Wc,U=2Ah,N=L>
72	Vaisala RS90/PC-Cora (Finland)                	V9=	 V9= Vaisala RS90 PC Cora radiosonde base case {1995} 31313=97299^ (W3=72) <F=T403DL,P=Sc,T=Wc,U=2Ah>
72	Vaisala RS90/PC-Cora (Finland)                	V9h	 V9h Vaisala RS90 PC Cora auto corr, ranging wind 31313=47203^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
73	Vaisala RS90/Autosonde (Finland)                	V9U	 V9U Vaisala RS90 Autosonde^ (W3=73) <F=T403DL,P=Sc,T=Wc,U=2Ah>
74	Vaisala RS90/Star (Finland)                	V9*	 V9* Vaisala RS90 Star radiosonde base case 31313=97499^ (W3=74) <F=T403DL,P=Sc,T=Wc,U=2Ah>
74	Vaisala RS90/Star (Finland)                	V9d	 V9d Vaisala RS90 Star auto corr, GPS wind 31313=47408^ <F=T403DL,P=Sc,T=Wc,U=2Ah,N=G>
74	Vaisala RS90/Star (Finland)                	V9c	 V9c Vaisala RS90 Star auto corr, LoRAN wind 31313=47406^ <F=T403DL,P=Sc,T=Wc,U=2Ah,N=L>
79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	VNG	 VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G>
79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	VNL	 VNL Vaisala RS92 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=47906^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L>
79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	VNN	 VNN Vaisala RS92 DigiCORA I, II, or Marwin auto corr, no wind 31313=47900^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=none>
79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	VNO	 VNO Vaisala RS92 DigiCORA I, II, or Marwin auto corr, optical wind 31313=47901^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,W=O>
79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	VNT	 VNT Vaisala RS92 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67903^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L>
79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	VN-	 VN- Vaisala RS92 DigiCORA I, II, or Marwin radiosonde base case {2003} 31313=97999^ (W3=79) <F=T400-406DL,P=Sc,T=Wc,U=2Ah>
79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	VnG	 VnG Vaisala RS92 DigiCORA I, II, or Marwin country corr, GPS wind 31313=67908^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G>
81	Vaisala RS92/Autosonde (Finland)                	MVP	 MVP Mixed Vaisala RS92 Autosonde LoRAN (VN6, 31313=48106) and GPS (VN8, 31313=48108)^
81	Vaisala RS92/Autosonde (Finland)                	VN8	 VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G>
81	Vaisala RS92/Autosonde (Finland)                	VN6	 VN6 Vaisala RS92 Autosonde auto corr, LoRAN wind 31313=48106^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L>
81	Vaisala RS92/Autosonde (Finland)                	VNU	 VNU Vaisala RS92 Autosonde base case {2003} 31313=98199^ (W3=81) <F=T400-406DL,P=Sc,T=Wc,U=2Ah>
81	Vaisala RS92/Autosonde (Finland)                	VN0	 VN0 Vaisala RS92 Autosonde auto corr, no wind 31313=48100^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=0>
