sensor_id,comment
DDD,"  DDD Germany Duckert PT radiosonde {1930}^ <F=V5-10FB,P=D,T=BC>"
DDU,"  DDU Germany Duckert PTU radiosonde {1932}^ <F=V7FB,P=D,T=BC,U=H>"
DF1,"  DF1 East Germany Freiberg radiosonde {1948}^ <F=V26.75HB,P=A,T=B,U=H>"
DF2,"  DF2 East Germany Freiberg double radiation shield radiosonde {1951}^ (I=F, W1=04, W2=10 ends 198607 but may have been reassigned"
DF3,"  DF3 East Germany Freiberg Type 1 radiosonde {1957}^ <F=V26.75HB,P=2A,T=B,U=Hr>"
DF4,"  DF4 East Germany Freiberg Type 7 radiosonde {1963}^ <F=V26.75HB,P=2A,T=B,U=Hr>"
DF5,"  DF5 East Germany Freiberg Type 8 radiosonde {1966}^ <F=V26.75HB,P=2A,T=B,U=Hr>"
DFK,  DFK East Germany Freiberg RKS2 radiosonde {early 1970s?}^
DFV,"  DFV Germany DFVLR powered glider radiosonde {1980}^ <F=,T=W,U=A(Vaisala Humicap)+Y> Deutsche Forschungs- und Versuchsanstalt fuer Luft- und Raumfahrt (DFVLR)"
DF_,  DF_ East Germany Freiberg radiosonde unspecified model^
DG1,"  DG1 Germany Graw H48 radiosonde {1950}^ <F=V3.1ME,P=A,T=B,U=H>"
DG2,"  DG2 Germany Graw H50 radiosonde {1950}^ (I=D, W1=02, W2=07 through 197909, T=053) <F=V90-93ME,P=A,T=BS,U=H>"
DG3,  DG3 Germany Graw H50 radiosonde with Metox transmitter {~ 1950s}^ (I=Dm)
DG4,"  DG4 Germany Graw M60 ""Registration"" radiosonde 27 MHz {1960}^ (W2=07 from 197909 to 198505, W3=19, T=051) <F=T28ME,P=2A,T=BS,U=Hr>"
DG5,"  DG5 Germany Graw RSG78 wet bulb radiosonde {1978}^ <F=T403S(P continuous but T and U switch)L,P=A,T=TBd,U=W>"
DG6,"  DG6 Germany Graw RSG78 carbon hygristor radiosonde {1978}^ (T=054) <F=T403S(P continuous but T and U switch)L,P=A,T=TBd,U=C>"
DG7,"  DG7 Germany Graw G78C radiosonde {1984}^ <F=T403?L,P=A,T=T=B,U=C>"
DG8,  DG8 Germany Graw GL80 radiosonde {late 1940s}^
DG9,"  DG9 Germany Graw DSIFS-87 Minisonde {1987}^ (or DFS-87 or TDFS-87 with KS-87 ground station) (T=055) <F=T403??,P=A,T=TB,U=C>"
