primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-41780	[41780]	KARACHI AIRPORT	24.9	67.129997	1954-01-01 00:00:00	1963-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:41780
[]	[25954]	KORF	60.349998	166.0	1952-01-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:25954
0-20000-0-54857	[54857]	QINGDAO	36.07	120.32	1957-03-04 00:00:00	1959-12-19 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:54857
0-20000-0-72546	[72550]	DES MOINES/MUN., IA.	41.299999	-94.120003	1926-12-31 00:00:00	1927-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1927
0-20000-0-31960	[31960]	VLADIVOSTOK	43.119999	131.899994	1946-10-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:31960
0-20000-0-29231	[29231]	KOLPASEVO	58.299999	82.900002	1951-08-08 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:29231
0-20000-0-48053	[48053]	MEIKTILA	20.83	95.830002	1956-10-14 00:00:00	1967-07-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48053
0-20000-0-53529	[53529]	OTOG QI	39.099998	107.980003	1957-03-06 00:00:00	1959-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:53529
0-20000-0-23884	[23884]	BOR	61.630001	90.230003	1950-02-02 00:00:00	1979-12-25 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:23884
0-20000-0-47631	[47631]	TSURUGA	35.650002	136.070007	1938-08-03 00:00:00	1941-06-10 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47631
0-20000-0-16716	[16716]	ATHINAI HELLINIKON	37.900002	23.73	1949-02-02 00:00:00	1967-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:16716
0-20000-0-10393	[10393]	LINDENBERG (10393-0)	52.22	14.12	1908-01-02 00:00:00	1908-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1908
0-20000-0-47768	[47768]	OKAYAMA	34.68	133.919998	1936-08-11 00:00:00	1941-05-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47768
0-20000-0-41858	[41858]	SAIDPUR	24.85	89.379997	1954-01-01 00:00:00	1963-12-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:41858
0-20000-0-38836	[38836]	DUSHANBE	38.580002	68.779999	1946-05-17 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:38836
0-20000-0-20744	[20744]	MALYE KARMAKULY (20744-0)	72.379997	52.73	1950-04-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:20744
0-20000-0-48062	[48062]	SITTWE	20.129999	92.879997	1954-07-22 00:00:00	1967-07-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48062
0-20000-0-72297	[72297]	LONG BEACH/LB AIRP. DAUGHERTY FIELD,  CA.	33.82	-117.849998	1943-03-01 00:00:00	1956-04-16 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72297
0-20000-0-11934	[11934]	POPRAD/TATRY	49.07	20.25	1952-03-09 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11934
