	Unnamed: 0	press	hum	temp	datetime	sensor
654632	355	2027	94.39	288.7	2005-02-19 15:00:10+00:00	Vaisala
654637	357	2036	94.79	288.6	2005-02-19 15:00:10+00:00	Vaisala
654642	360	2049	95.92	288.49	2005-02-19 15:00:10+00:00	Vaisala
654647	362	2058	96.03	288.44	2005-02-19 15:00:10+00:00	Vaisala
654652	365	2072	96.25	288.38	2005-02-19 15:00:10+00:00	Vaisala
654657	367	2081	96.83	288.27	2005-02-19 15:00:10+00:00	Vaisala
654662	370	2094	97.23	288.19	2005-02-19 15:00:10+00:00	Vaisala
654667	372	2103	98.05	288.1	2005-02-19 15:00:10+00:00	Vaisala
654672	375	2117	98.05	288.0	2005-02-19 15:00:10+00:00	Vaisala
654677	377	2126	98.05	287.93	2005-02-19 15:00:10+00:00	Vaisala
654682	380	2139	98.22	287.79	2005-02-19 15:00:10+00:00	Vaisala
654687	382	2148	98.22	287.79	2005-02-19 15:00:10+00:00	Vaisala
654692	385	2162	98.99	287.71	2005-02-19 15:00:10+00:00	Vaisala
654697	387	2171	98.99	287.64	2005-02-19 15:00:10+00:00	Vaisala
654702	390	2184	98.99	287.61	2005-02-19 15:00:10+00:00	Vaisala
654707	392	2193	99.46	287.53	2005-02-19 15:00:10+00:00	Vaisala
654712	395	2207	99.81	287.5	2005-02-19 15:00:10+00:00	Vaisala
654717	397	2216	100.0	287.44	2005-02-19 15:00:10+00:00	Vaisala
654722	400	2229	100.0	287.42	2005-02-19 15:00:10+00:00	Vaisala
654727	402	2238	100.0	287.34	2005-02-19 15:00:10+00:00	Vaisala
654732	405	2252	100.0	287.34	2005-02-19 15:00:10+00:00	Vaisala
654737	407	2261	100.0	287.34	2005-02-19 15:00:10+00:00	Vaisala
654742	410	2274	100.0	287.34	2005-02-19 15:00:10+00:00	Vaisala
654747	412	2283	100.0	287.34	2005-02-19 15:00:10+00:00	Vaisala
654752	415	2297	100.0	287.3	2005-02-19 15:00:10+00:00	Vaisala
