,name,statid,ascents,lat,lon,min_lat_d,max_lat_d,min_lon_d,max_lon_d,max_time
16,WALNEY ISLAND,0-20000-0-03214,8462,54.32,-3.4,-0.08025272600630728,0.029416103048340858,-0.16367543368241178,0.13450413098495106,3554.118044730751
17,ALBEMARLE,0-20000-0-03238,11127,55.0197,-1.8817,-0.10790370839490038,0.08758587852223343,-0.1007059655631366,0.2750969122306577,1384.5395240732712
18,BOULMER,0-20000-0-03240,13881,55.42,-1.6,-0.8238316956293232,0.4552722550277579,-0.5977431200224919,1.716336697441836,4190.384487371497
19,CROSBY,0-20000-0-03316,66609,53.55,-2.92,-0.06096145394853636,0.03318567127052319,-0.05573817831006611,0.10417224522165958,1551.219687871418
20,"NOTTINGHAM, WATNALL",0-20000-0-03354,16874,53.0056,-1.2511,-0.24496071096430683,0.032640249900367735,-0.3593697169056662,0.11463465913763415,3513.1447570838304
21,ABERPORTH,0-20000-0-03502,24620,52.13945,-4.57284,-0.22580429985396222,0.06756705401669194,-0.1494561344127625,0.38831309810773185,3213.05321588242
22,CARDINGTON,0-20000-0-03559,296,52.10495,-0.42246,-0.00012217804479064398,0.0009502890318486834,-0.005289397477066693,0.0,121.51557540650313
23,WATTISHAM,0-20000-0-03590,892,52.12,0.97,-0.00039278664611686054,0.007450244289401553,-0.0004578860224516701,0.02183760157412562,103.74075575873931
24,LARKHILL,0-20000-0-03743,45411,51.2017,-1.8058,-0.006290801667809376,0.0002871225611187356,-0.04500611674966937,0.006148908966000732,379.0740437048452
25,SOUTH FARNBOROUGH,0-20000-0-03768,459,51.38,-0.78,-0.09938824287269199,0.0313443824407571,0.0,0.056382440057872296,1006.520269537252
26,CHARLWOOD,0-20000-0-03769,55638,51.08,-0.22,-0.03606496223449085,0.009123855271226944,-0.07389418042810142,0.17045044554504024,1111.8461834970424
27,CAMBORNE,0-20000-0-03808,90394,50.2183,-5.3275,-0.7968983972014172,0.055556803878964445,-0.6958711754527664,0.8176026235461586,5577.839085425757
28,"HERSTMONCEUX, WEST END",0-20000-0-03882,23689,50.8994,0.3169,-0.5700694927472512,0.09072713400978216,-0.8103403375219,0.4806035178556034,3856.2971908868835
29,EGILSSTADIR,0-20000-0-04089,2897,65.2833,-14.4,-0.016018277094147493,0.015889795546868868,0.0,0.040995904155010976,558.6610121947563
