1759/era5.1759.conv.6:100358	0-20600-0-6:100358
1759/era5.1759.conv.6:100391	0-20600-0-6:100391
1759/era5.1759.conv.6:103846	0-20600-0-6:103846
1759/era5.1759.conv.6:103890	0-20600-0-6:103890
1759/era5.1759.conv.6:100392	0-20600-0-6:100392
1759/era5.1759.conv.6:103892	0-20600-0-6:103892
1759/era5.1759.conv.6:103899	0-20600-0-6:103899
1759/era5.1759.conv.6:104258	0-20600-0-6:104258
1759/era5.1759.conv.6:105807	0-20600-0-6:105807
1759/era5.1759.conv.6:105926	0-20600-0-6:105926
1759/era5.1759.conv.6:106156	0-20600-0-6:106156
1759/era5.1759.conv.6:106240	0-20600-0-6:106240
1759/era5.1759.conv.1:30565	0-20600-0-1:30565
1759/era5.1759.conv.6:100005	0-20600-0-6:100005
1759/era5.1759.conv.1974	0-20600-0-100987
