primary_id	station_name	files
0-20000-0-11605	PIARCO INT. AIRPORT,  TRINIDAD	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11605']
0-20000-0-11606	HATO AIRPORT, CURACAO (78988-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11606']
0-20000-0-11608	SAN JUAN/INT.,  PUERTO RICO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11608']
0-20000-0-11610	PIARCO INT. AIRPORT,  TRINIDAD	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11610']
0-20000-0-11615	SANTO DOMINGO (78486-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11615']
0-20000-0-11616	C. AMALIE/TRUMAN,  ST. THOMAS	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11616']
0-20000-0-11617	PIARCO INT. AIRPORT,  TRINIDAD	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11617']
0-20000-0-11618	SAN JUAN/INT.,  PUERTO RICO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11618']
0-20000-0-11620	C. AMALIE/TRUMAN,  ST. THOMAS	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11620']
0-20000-0-11621	PORT OF SPAIN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11621']
0-20000-0-11629	SANTO DOMINGO (78486-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11629']
0-20000-0-11630	ROOSEVELT ROADS/NS,  PUERTO RICO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11630']
0-20000-0-11631	SAN JUAN/INT.,  PUERTO RICO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11631']
0-20000-0-11639	ROOSEVELT ROADS/NS,  PUERTO RICO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11639']
0-20000-0-11641	SAN JUAN/INT.,  PUERTO RICO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11641']
0-20000-0-11642	LE RAIZET AERO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11642']
0-20000-0-11644	HEWANORRA INT'L AIRPORT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11644']
0-20000-0-11645	JULIANA AIRPORT,  ST. MAARTEN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11645']
0-20000-0-11646	SABANA DE LA MAR	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11646']
0-20000-0-11647	VC BIRD INT'L AIRPORT ANTIGUA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11647']
0-20000-0-1167	TSU	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1167']
0-20000-0-11701	PORT-AU-PRINCE/AEROPORT INT.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11701']
0-20000-0-11703	QUEEN BEATRIX AIRPORT, ARUBA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11703']
0-20000-0-11704	KINGSTON/NORMAN MANLEY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11704']
0-20000-0-11707	KINGSTON/NORMAN MANLEY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11707']
0-20000-0-11709	PORT-AU-PRINCE/AEROPORT INT.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11709']
0-20000-0-11803	CORINTO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11803']
0-20000-0-11804	OWEN ROBERTS AIRPORT GRAND CAYMAN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11804']
0-20000-0-11805	MANAGUA A.C.SANDINO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11805']
0-20000-0-11806	TRUJILLO (78704-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11806']
0-20000-0-1181	FUKUOKA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1181']
0-20000-0-11810	PUERTO CABEZAS	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:11810']
