primary_id	station_name	files
0-20000-0-06081	BLAAVANDSHUK FYR	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006086.nc']
0-20000-0-06096	ROEMOE/JUVRE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006096.nc']
0-20000-0-06180	KOEBENHAVNS LUFTHAVN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006181.nc']
0-20000-0-06215	VOORSCHOTEN AWS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006210.nc']
0-20000-0-06242	VLIELAND	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006235.nc']
0-20000-0-06260	DE BILT AWS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006260.nc']
0-20000-0-06391	ARCEN AWS	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_010404.nc']
0-20000-0-06400	KOKSIJDE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006400.nc']
0-20000-0-06418	ZEEBRUGGE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006410.nc']
0-20000-0-06447	UCCLE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006458.nc']
0-20000-0-06450	ANTWERPEN/DEURNE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006450.nc']
0-20000-0-06451	BRUSSELS NATIONAL (AIRPORT)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006451.nc']
0-20000-0-06456	FLORENNES	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006456.nc']
0-20000-0-06476	ST-HUBERT	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006476.nc']
0-20000-0-06478	BIERSET	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006470.nc']
0-20000-0-06484	BUZENOL	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006480.nc']
0-20000-0-06490	SPA/LA SAUVENIERE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006490.nc']
0-20000-0-06496	ELSENBORN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006496.nc']
0-20000-0-06590	LUXEMBOURG/LUXEMBOURG	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006590.nc']
0-20000-0-06610	PAYERNE (6610-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006610.nc']
0-20000-0-06621	GUETTINGEN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_010934.nc']
0-20000-0-06670	ZUERICH / KLOTEN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006670.nc']
0-20000-0-06700	GENEVE / COINTRIN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_006700.nc']
0-20000-0-07005	ABBEVILLE	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_007005.nc']
