,station,start,end,obs,lat,lon,rh,temp,u,v,rh_h,temp_h,u_h,v_h
551,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_THM00048407.csv,1965-01-0600:00:00+00,2023-05-0600:00:00+00,622048,15.25,104.867,-0.9267822149953986,0.07872049480271437,,,-0.8625319473003304,0.08194443129458837,,
552,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_TUM00017095.csv,2006-11-3012:00:00+00,2023-05-0612:00:00+00,504023,39.9,41.2833,,,,,,,,
553,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_SPM00008001.csv,1965-01-0100:00:00+00,2023-05-0612:00:00+00,1373338,43.3658,-8.4214,-0.01800214712381203,0.42524161956143147,-0.08936847200952322,0.13673098083479732,0.22338669242460796,0.3698810145099037,-0.06699661794901988,0.15927776851294956
554,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_SPM00008430.csv,1984-08-0112:00:00+00,2023-05-0612:00:00+00,1029060,38.0019,-1.1708,1.242258857181924,0.38715892962699167,-0.22215019482728723,-0.20925219392283942,1.408659544106576,0.2976848940116758,-0.2135783934521441,-0.2006596505300196
555,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_SWM00002185.csv,1965-01-0100:00:00+00,2021-11-1209:00:00+00,996064,65.5433,22.1144,1.2940455115003822,0.3253230065946162,-0.3137764087541119,0.23923258514139148,1.7944318071870158,0.31889299700681867,-0.2794275572892,0.27532910587437726
556,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_THM00048568.csv,1965-01-0100:00:00+00,2023-05-0600:00:00+00,634976,7.1819,100.607,-0.5741332976867248,0.17176108782999347,,,-0.46841850754196773,0.1771582933103806,,
557,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_SNM00048698.csv,1965-01-0100:00:00+00,2023-03-0411:00:00+00,1471272,1.3667,103.983,1.1012221668529212,0.2387005846584405,0.22992854535914742,-0.06485108389612917,1.1630742121072446,0.21841112371141944,0.2100322332878288,-0.10809315543460238
558,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_SWM00002527.csv,1977-11-0100:00:00+00,2023-04-0700:00:00+00,961912,57.6572,12.2911,0.6265155476595141,0.42089347083964895,0.3582458262157149,0.29472127462072406,0.8670167461690225,0.42469062330565077,0.37866635634932466,0.31632083746674966
559,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_SWM00002591.csv,1977-07-0100:00:00+00,2023-05-0500:00:00+00,901819,57.65,18.35,0.8626786702671515,0.47578884179889747,0.22580949512971113,0.11003126505733277,0.8199718619692974,0.1671091403600562,0.25199650745000435,0.1384866433393772
560,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_UKM00003559.csv,1996-10-0908:00:00+00,2021-04-0112:00:00+00,7475,52.1039,-0.4214,,,,,,,,
561,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_SPM00008221.csv,1965-01-0100:00:00+00,2023-05-0612:00:00+00,1366595,40.4653,-3.5797,1.6921240049143358,0.3837827128327237,0.1808130566722828,-0.06428861531498449,1.3712288878134236,0.42869297175428367,0.19667803358178157,-0.047214087248525924
562,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_TVM00091643.csv,1973-03-0500:00:00+00,2023-05-0600:00:00+00,593327,-8.5167,179.217,0.23759784410496795,0.20209286428518497,,,1.6341227834303294,0.13039749566259762,,
563,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_SWM00002365.csv,1965-08-1912:00:00+00,2023-05-0612:00:00+00,1413810,62.5317,17.4361,0.55949687023206,0.26687968680849633,0.14734163593541053,0.06956501776870758,0.7421008752528161,0.19377501692967364,0.16754882945917451,0.09089734424537145
564,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_UKM00003693.csv,1966-05-2312:00:00+00,2010-12-2009:00:00+00,283214,51.5547,0.8269,,,,,,,,
565,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_TDM00078970.csv,1969-12-1212:00:00+00,2023-05-0512:00:00+00,1459938,10.6167,-61.35,-0.9849507581931175,0.1831353221098136,-0.16249137676880243,-0.14499838760719816,-1.0000137021361422,0.17517422630911134,-0.18751448704332518,-0.18884742532213722
