primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
0-20500-0-80309	2	39	2:80309	[]	BIAK ISLAND NF	[]	[]	0	136.380005	-1.27	NA	1945-01-01	1945-07-30	1	0	63	NMS	[]	Biak	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	135.8798821454908	136.88012785450923	-1.77	-0.77	S. Schroeder	0	8
[]	-1	40	6:100066	[]		[]	[]	0	135.199997	-29.9	NA	1964-11-25	1966-11-28	1	0	63	NMS	[]	Flinders	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	134.62322704370024	135.77676695629975	-30.4	-29.4	S. Schroeder	0	13
[]	-1	41	6:104646	[]		[]	[]	0	-16.200001	44.599998	NA	1971-05-17	1971-05-17	1	0	63	NMS	[]	Muros	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-16.902222478559562	-15.497779521440437	44.099998	45.099998	S. Schroeder	0	13
[]	-1	42	1:30969	[]		[]	[]	0	117.300003	49.599998	NA	1962-08-18	1964-12-31	1	0	63	NMS	[]	Manzhouli	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	116.5285408389519	118.07146516104811	49.099998	50.099998	S. Schroeder	0	8
[]	-1	43	6:100900	[]		[]	[]	0	90.0	-58.299999	NA	1971-09-18	1971-09-27	1	0	63	NMS	[]	Albany	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	89.04847390939156	90.95152609060844	-58.799999	-57.799999	S. Schroeder	0	13
[]	-1	44	6:104655	[]		[]	[]	0	-15.8	45.0	NA	1971-11-21	1971-11-21	1	0	63	NMS	[]	Muros	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-16.507106781186547	-15.092893218813453	44.5	45.5	S. Schroeder	0	13
0-20500-0-80310	2	45	2:80310	[]	MIOS WOENDI NF	[]	[]	0	136.369995	-1.25	NA	1944-08-20	1944-08-30	1	0	63	NMS	[]	Biak	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	135.86987598521765	136.87011401478233	-1.75	-0.75	S. Schroeder	0	8
[]	-1	46	6:100071	[]		[]	[]	0	77.900002	-68.599998	NA	1959-04-14	1964-10-31	1	0	63	NMS	[]	Albany	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	76.52967651773582	79.27032748226418	-69.099998	-68.099998	S. Schroeder	0	13
[]	-1	47	1:31883	[]		[]	[]	0	134.970001	45.880001	NA	1976-05-28	1977-06-04	1	0	63	NMS	[]	Luchegorsk	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	134.25177882801114	135.68822317198885	45.380001	46.380001	S. Schroeder	0	13
[]	-1	48	6:104656	[]		[]	[]	0	-16.0	45.099998	NA	1971-10-21	1971-10-21	1	0	63	NMS	[]	Muros	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-16.70834412838718	-15.291655871612823	44.599998	45.599998	S. Schroeder	0	13
[]	-1	49	6:100948	[]		[]	[]	0	94.800003	-57.799999	NA	1971-10-07	1971-10-07	1	0	63	NMS	[]	Albany	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	93.86169891592786	95.73830708407215	-58.299999	-57.299999	S. Schroeder	0	13
0-20500-0-80311	2	50	2:80311	[]	BIAK ISLAND FAW 17	[]	[]	0	136.380005	-1.25	NA	1944-11-01	1944-12-30	1	0	63	NMS	[]	Biak	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	135.87988598521767	136.88012401478235	-1.75	-0.75	S. Schroeder	0	8
[]	-1	51	6:100085	[]		[]	[]	0	-160.100006	21.299999	NA	1973-01-25	1973-01-25	1	0	63	NMS	[]	Kapaa	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-160.63666447846757	-159.56334752153245	20.799999	21.799999	S. Schroeder	0	13
[]	-1	52	1:32227	[]		[]	[]	0	159.979996	59.099998	NA	1969-11-01	1977-07-25	1	0	63	NMS	[]	Magadan	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	159.00636443908104	160.95362756091896	58.599998	59.599998	S. Schroeder	0	13
[]	-1	53	6:100951	[]		[]	[]	0	134.5	28.9	NA	1972-07-13	1972-07-13	1	0	63	NMS	[]	Kushima	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	133.9288746321757	135.0711253678243	28.4	29.4	S. Schroeder	0	13
[]	-1	54	6:104833	[]		[]	[]	0	-34.900002	43.700001	NA	1971-05-29	1971-05-29	1	0	63	NMS	[]	Angra	NA	NA	0	63	29	1	NA	NA	[111, 112, 2, 29]	NA	[]	-35.59159637073771	-34.20840762926229	43.200001	44.200001	S. Schroeder	0	13
0-20500-0-80402	2	55	2:80402	[]	HORANDA AAF	[]	[]	0	148.369995	-8.77	NA	1942-11-07	1945-08-14	1	0	63	NMS	[]	Popondetta	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	147.8640800186915	148.87590998130847	-9.27	-8.27	S. Schroeder	0	8
[]	-1	56	6:100097	[]		[]	[]	0	73.400002	-53.0	NA	1953-01-02	1954-09-28	1	0	63	NMS	[]	Taolanaro	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	72.56918192943876	74.23082207056125	-53.5	-52.5	S. Schroeder	0	13
[]	-1	57	1:34398	[]		[]	[]	0	49.48	49.669998	NA	1966-12-11	1968-04-30	1	0	63	NMS	[]	Novouzensk	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	48.707428213944915	50.25257178605508	49.169998	50.169998	S. Schroeder	0	8
[]	-1	58	6:100954	[]		[]	[]	0	95.400002	-28.5	NA	1971-07-20	1971-07-20	1	0	63	NMS	[]	Geraldton	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	94.83105540941133	95.96894859058867	-29.0	-28.0	S. Schroeder	0	13
[]	-1	59	6:104930	[]		[]	[]	0	-40.5	43.5	NA	1971-04-15	1971-05-15	1	0	63	NMS	[]	Bay Roberts	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-41.18929923634086	-39.81070076365914	43.0	44.0	S. Schroeder	0	13
0-20500-0-80405	2	60	2:80405	[]	NADZAB AAF	[]	[]	0	146.729996	-6.57	NA	1943-10-01	1945-08-09	1	0	63	NMS	[]	Lae	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	146.22669069864904	147.23330130135096	-7.07	-6.07	S. Schroeder	0	8
[]	-1	61	6:100117	[]		[]	[]	0	-11.7	36.0	NA	1971-09-20	1971-09-20	1	0	63	NMS	[]	Lagos	NA	NA	0	63	29	1	NA	NA	[111, 112, 2, 29]	NA	[]	-12.318033988749894	-11.081966011250104	35.5	36.5	S. Schroeder	0	13
[]	-1	62	1:35225	[]		[]	[]	0	56.529999	50.75	NA	1976-04-24	1979-12-17	1	0	63	NMS	[]	Aqtöbe	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	55.73974170734216	57.32025629265783	50.25	51.25	S. Schroeder	0	13
[]	-1	63	6:100959	[]		[]	[]	0	-130.699997	35.0	NA	1972-10-15	1972-10-15	1	0	63	NMS	[]	Half Moon Bay	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	-131.31038429438073	-130.08960970561927	34.5	35.5	S. Schroeder	0	13
[]	-1	64	6:104941	[]		[]	[]	0	-41.0	44.0	NA	1971-05-03	1971-11-21	1	0	63	NMS	[]	Bay Roberts	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-41.69508179550834	-40.30491820449166	43.5	44.5	S. Schroeder	0	13
[]	-1	65	6:100127	[]		[]	[]	0	107.099998	19.299999	NA	1973-03-02	1973-03-02	1	0	63	NMS	[]	Thanh Hóa	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	106.57022528033362	107.62977071966638	18.799999	19.799999	S. Schroeder	0	13
[]	-1	66	6:100974	[]		[]	[]	0	147.5	-42.400002	NA	1948-05-02	1958-04-17	1	0	63	NMS	[]	Hobart	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	146.822910962343	148.177089037657	-42.900002	-41.900002	S. Schroeder	0	8
[]	-1	67	6:105151	[]		[]	[]	0	-31.9	87.099998	NA	1972-11-04	1972-11-04	1	0	63	NMS	[]	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-41.78279500477782	-22.01720499522218	86.599998	87.599998	S. Schroeder	0	13
[]	-1	68	1:35406	[]		[]	[]	0	51.869999	49.049999	NA	1967-01-01	1968-07-14	1	0	63	NMS	[]	Inderborskiy	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	51.10710632444908	52.63289167555092	48.549999	49.549999	S. Schroeder	0	8
0-20500-0-80406	2	69	2:80406	[]	MERAUKE AAF	[]	[]	0	140.419998	-8.53	NA	1943-02-02	1945-09-15	1	0	63	NMS	[]	Merauke	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	139.91440530294182	140.92559069705817	-9.03	-8.03	S. Schroeder	0	8
[]	-1	70	6:100140	[]		[]	[]	0	-14.0	45.0	NA	1971-04-25	1971-04-25	1	0	63	NMS	[]	Muros	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-14.707106781186548	-13.292893218813452	44.5	45.5	S. Schroeder	0	13
[]	-1	71	6:105245	[]		[]	[]	0	5.1	64.300003	NA	1971-11-11	1971-11-11	1	0	63	NMS	[]	Kristiansund	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	3.9470204541582374	6.252979545841762	63.800003000000004	64.800003	S. Schroeder	0	13
[]	-1	72	6:100977	[]		[]	[]	0	97.699997	-37.099998	NA	1971-07-15	1971-07-15	1	0	63	NMS	[]	Busselton	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	97.07310374309017	98.32689025690982	-37.599998	-36.599998	S. Schroeder	0	13
0-20500-0-80408	2	73	2:80408	[]	GUSAP AAF	[]	[]	0	145.919998	-6.07	NA	1943-11-13	1944-09-16	1	0	63	NMS	[]	Goroka	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	145.4171789184548	146.4228170815452	-6.57	-5.57	S. Schroeder	0	8
[]	-1	74	6:100150	[]		[]	[]	0	-15.0	44.599998	NA	1971-11-02	1971-11-02	1	0	63	NMS	[]	Muros	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-15.702221478559563	-14.297778521440437	44.099998	45.099998	S. Schroeder	0	13
[]	-1	75	1:35633	[]		[]	[]	0	59.619999	47.849998	NA	1968-01-08	1968-04-29	1	0	63	NMS	[]	Emba	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	58.87492455921322	60.36507344078678	47.349998	48.349998	S. Schroeder	0	8
[]	-1	76	6:105252	[]		[]	[]	0	2.1	65.599998	NA	1971-06-02	1971-10-21	1	0	63	NMS	[]	Kristiansund	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	0.8896523846602207	3.3103476153397793	65.099998	66.099998	S. Schroeder	0	13
[]	-1	77	6:100153	[]		[]	[]	0	-138.199997	28.200001	NA	1973-01-08	1973-01-08	1	0	63	NMS	[]	Pacific Grove	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-138.76733847983607	-137.63265552016392	27.700001	28.700001	S. Schroeder	0	13
[]	-1	78	6:100987	[]		[]	[]	0	64.400002	-72.699997	NA	1973-12-30	1974-02-02	1	0	63	NMS	[]	Port Elizabeth	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	62.71862284012141	66.08138115987859	-73.199997	-72.199997	S. Schroeder	0	8
0-20500-0-80409	2	79	2:80409	[]	WARDS	[]	[]	0	147.179993	-9.45	NA	1943-05-09	1944-05-27	1	0	63	NMS	[]	Port Moresby	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	146.67311427923784	147.68687172076216	-9.95	-8.95	S. Schroeder	0	8
[]	-1	80	1:35756	[]		[]	[]	0	64.669998	46.880001	NA	1976-03-10	1979-12-27	1	0	63	NMS	[]	Dzhusaly	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	63.938499706628	65.40149629337202	46.380001	47.380001	S. Schroeder	0	13
0-20500-0-80412	2	81	2:80412	[]	FINSCHHAFEN AAF	[]	[]	0	147.850006	-6.62	NA	1943-12-15	1945-08-31	1	0	63	NMS	[]	Lae	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	147.34664991581576	148.35336208418425	-7.12	-6.12	S. Schroeder	0	8
[]	-1	82	1:35884	[]		[]	[]	0	55.0	45.5	NA	1967-11-17	1968-10-31	1	0	63	NMS	[]	Beyneu	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	54.28664090280008	55.71335909719992	45.0	46.0	S. Schroeder	0	8
[]	-1	83	6:100154	[]		[]	[]	0	-15.4	45.200001	NA	1971-04-23	1971-04-23	1	0	63	NMS	[]	Muros	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-16.109588041167655	-14.690411958832348	44.700001	45.700001	S. Schroeder	0	13
