	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
67	era5.conv._41572	ORPHAN	0-20888-0-41572	 	68	41572	 	 	 	 	 	72.91	33.98	 	19790526	19790526	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
68	era5.conv._94208	ORPHAN	0-20888-0-94208	 	69	94208	 	 	 	 	 	124.53	-15.5	 	19791202	19800414	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
69	era5.conv._36394	ORPHAN	0-20888-0-36394	 	70	36394	 	 	 	 	 	81.05	49.58	 	19800601	19800601	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
70	era5.conv._41569	ORPHAN	0-20888-0-41569	 	71	41569	 	 	 	 	 	72.22	33.46	 	19790824	19800710	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
71	era5.conv._68530	ORPHAN	0-20888-0-68530	 	72	68530	 	 	 	 	 	23.75	-29.07	 	19970210	19970210	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
72	era5.conv._40946	ORPHAN	0-20888-0-40946	 	73	40946	 	 	 	 	 	67.03	34.38	 	19820624	19820624	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
73	era5.conv._85972	ORPHAN	0-20888-0-85972	 	74	85972	 	 	 	 	 	-68.72	-56.6	 	19901216	19920821	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
74	era5.conv._03070	ORPHAN	0-20888-0-03070	 	75	3070	 	 	 	 	 	-3.35	57.35	 	19930416	19930416	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
75	era5.conv._98815	ORPHAN	0-20888-0-98815	 	76	98815	 	 	 	 	 	118.08	7.0	 	19840122	19840122	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
76	era5.conv._89644	ORPHAN	0-20888-0-89644	 	77	89644	 	 	 	 	 	143.93	-66.95	 	19991103	19991103	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
77	era5.conv._37553	ORPHAN	0-20888-0-37553	 	78	37553	 	 	 	 	 	45.38	41.93	 	19810301	19840402	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
78	era5.conv._13276	MATCHING_ID_NONMATCHING_COORD	0-20777-0-13276	 	79	13276	 	 	 	 	 	[20.53, 20.53]	[44.3, 44.3]	 	19820517	19820517	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
79	era5.conv._57016	ORPHAN	0-20888-0-57016	 	80	57016	 	 	 	 	 	107.08	34.21	 	19790802	19790802	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
80	era5.conv._47431	ORPHAN	0-20888-0-47431	 	81	47431	 	 	 	 	 	141.18	41.82	 	19810416	19810802	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
81	era5.conv._42122	ORPHAN	0-20888-0-42122	 	82	42122	 	 	 	 	 	73.17	29.17	 	20000912	20000912	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
82	era5.conv._38352	ORPHAN	0-20888-0-38352	 	83	38352	 	 	 	 	 	74.1	42.85	 	19911208	19911208	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
83	era5.conv._41665	ORPHAN	0-20888-0-41665	 	84	41665	 	 	 	 	 	68.6	30.4	 	19790706	19790706	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
84	era5.conv._82445	MATCHING_ID_NONMATCHING_COORD	0-20777-0-82445	 	85	82445	 	 	 	 	 	[-55.58, -55.58]	[-4.27, -4.27]	 	19960909	19960909	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
85	era5.conv._03004	ORPHAN	0-20888-0-03004	 	86	3004	 	 	 	 	 	-1.38	60.53	 	19891226	19891226	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
86	era5.conv._72639	MATCHING_ID_NONMATCHING_COORD	0-20777-0-72639	 	87	72639	 	 	 	 	 	[-9.99, -9.99]	[0.99, 0.99]	 	19941125	19941125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
87	era5.conv._67207	ORPHAN	0-20888-0-67207	 	88	67207	 	 	 	 	 	34.76	-12.13	 	19790730	19790730	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
