	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	file
88	0-20000-0-51334	0	89	51334	3	JINGHE (51334-0)			0	82.81666666666666	44.56666666666667		19660720	20000912	1	0	63	NMS	47	Yining									['38', '85', '106', '107']							L.Haimberger	0	8.9		155.5	uadb_trhc_51334.txt
89	0-20500-0-41006	0	90	48910	3	VINH LONG			0	105.95	10.25		19710616	20010818	1	0	63	NMS	239	Vinh Long									['38', '85', '106', '107']							L.Haimberger	0	0.0		6.6	uadb_windc_48910.txt
90	0-20000-0-67072	0	91	67072	3	SAINTE-MARIE AERODROME			0	49.81666666666667	-17.083333333333332		19661203	20131024	1	0	63	NMS	141	Ambodifototra									['38', '85', '106', '107']							L.Haimberger	0	0.5		14.0	uadb_windc_67072.txt
91	0-20000-0-41466	0	92	41390	3	TAIZ			0	44.13333333333333	13.683333333333335		19830729	19840718	1	0	63	NMS	243	Ibb									['38', '85', '106', '107']							L.Haimberger	0	0.5		32.2	uadb_trhc_41390.txt
92	0-20600-0-30954	0	93	30954	3	Duldurga, Russia			0	113.58	50.68		19740924	20010807	1	0	63	NMS	190	Aginskoye									['38', '85', '106', '107']							L.Haimberger	0	0.0		81.7	uadb_trhc_30954.txt
93	0-20000-0-72344	0	94	72344	3	FORT SMITH/MUN., AR.			0	-94.36666666666666	35.333333333333336		19630415	19640216	1	0	63	NMS	231	Fort Smith									['38', '85', '106', '107']							L.Haimberger	0	9.8		14.5	uadb_windc_72344.txt
94	0-20000-0-62641	0	95	62641	3	PORT SUDAN			0	37.21666666666667	19.58333333333333		19660312	20030101	1	0	63	NMS	195	Sawakin									['38', '85', '106', '107']							L.Haimberger	0	0.5		54.2	uadb_trhc_62641.txt
95	0-20000-0-91348	0	96	91347	3	WEATHER SERVICE OFFICE, POHNPEI, CAROLINE IS.			0	158.20666666666662	6.961944444444446		19900902	19930723	1	0	63	NMS	72	None									['38', '85', '106', '107']							L.Haimberger	0	1.7		None	uadb_trhc_91347.txt
96	0-20000-0-62752	0	97	62752	3	GEDAREF			0	35.4	14.033333333333333		19691018	19750605	1	0	63	NMS	195	Doka									['38', '85', '106', '107']							L.Haimberger	0	0.4		69.3	uadb_windc_62752.txt
97	0-20600-0-88925	0	98	88925	3	Signy Island (operated by UK)			0	-45.6	-60.72		19530109	19620830	1	0	63	NMS	89	None									['38', '85', '106', '107']							L.Haimberger	0	0.0		None	uadb_windc_88925.txt
98	0-20000-0-91232	0	99	91232	3	SAIPAN (CG), MARIANA IS.			0	145.73333333333332	15.116666666666667		19670212	19920329	1	0	63	NMS	148	None									['38', '85', '106', '107']							L.Haimberger	0	3.9		None	uadb_trhc_91233.txt
99	0-20300-0-48849	0	100	48849	3	DONG HA			0	107.0833	16.8167		19660301	19680223	1	0	63	NMS	239	Hue									['38', '85', '106', '107']							L.Haimberger	0	0.5		64.9	uadb_windc_48849.txt
100	0-20000-0-65467	0	101	65467	3	TAKORADI			0	-1.7666666666666666	4.883333333333333		19660527	20000913	1	0	63	NMS	81	Takoradi									['38', '85', '106', '107']							L.Haimberger	0	0.5		5.8	uadb_windc_65467.txt
101	0-20000-0-28552	0	102	28552	3	SADRINSK			0	63.65	56.06666666666667		19730515	20020708	1	0	63	NMS	190	Shadrinsk									['38', '85', '106', '107']							L.Haimberger	0	1.9		2.8	uadb_windc_28552.txt
102	0-20000-0-47648	0	103	47648	3	CHOSHI			0	140.85722222222222	35.73972222222222		19350107	19441028	1	0	63	NMS	113	Choshi									['38', '85', '106', '107']							L.Haimberger	0	2.3		2.1	uadb_windc_47648.txt
103	0-20000-0-47938	0	104	47938	3	IEJIMA (US BASE)			0	127.78333333333332	26.716666666666665		19680101	20000223	1	0	63	NMS	113	Nago									['38', '85', '106', '107']							L.Haimberger	0	0.5		24.4	uadb_trhc_47938.txt
104	0-20000-0-60620	0	105	60620	3	ADRAR			0	-0.18333333333333326	27.816666666666666		19680202	20000629	1	0	63	NMS	61	Adrar									['38', '85', '106', '107']							L.Haimberger	0	11.8		2.2	uadb_trhc_60620.txt
105	0-20000-0-40621	0	106	69792	3	KIRKUK			0	44.4	35.46666666666667		20060417	20080512	1	0	63	NMS	106	Kirkuk									['38', '85', '106', '107']							L.Haimberger	0	4.6		3.8	uadb_windc_69792.txt
