	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	elevation
55	0-20000-0-02226	0	55	1:2062,1:2225,2062,2225,9:3717,9:4185	3	OSTERSUND FROSON			0	14.500277777777775	63.19555555555555		19330608	20050618	1	0	63	NMS	196.0	Ostersund									106,107,117,126,137,138,139,140,39							L.Haimberger	0	359.2
56	0-20000-0-02229	0	56	5615,9:3353,C:5615	3	OSTERSUND, SOL			0	14.479722222222222	63.19694444444444		19211210	19791221	1	0	63	NMS	196.0	Ostersund									106,107,117,126,137,138,139,140							L.Haimberger	0	374.0
57	0-20000-0-02260	0	57	2259	3	VASTMARKUM			0	18.25555555555556	63.125277777777775		19800226	19870128	1	0	63	NMS	196.0	Harnosand									106,107,117,126,137,138,139,140,39							L.Haimberger	0	142.74
58	0-20000-0-02331	0	58	2330	3	HUNGE			0	15.08777777777778	62.75138888888889		19850504	19860601	1	0	63	NMS	196.0	Ostersund									106,107,117,126,137,138,139,140,39							L.Haimberger	0	343.19
59	0-20000-0-02365	0	59	1:2066,1:2365,2066,2365,2366	3	SUNDSVALL HARNOSAND (2365-0)			0	17.43611111111111	62.531666666666666		19650819	20211231	1	0	63	NMS	196.0	Timra									106,107,117,126,137,138,139,140,39							L.Haimberger	0	8.5
60	0-20000-0-02417	0	60	2417	3	PALGRUNDEN			0	13.15	58.75		20000510	20000510	1	0	63	NMS	196.0	Lidkoping									106,107,117,139,140							L.Haimberger	0	50.0
61	0-20000-0-02429	0	61	5572,C:5572	3	DAGLOSEN			0	14.183055555555557	59.66194444444445		19100216	19480629	1	0	63	NMS	196.0	Kristinehamn									106,107,117,126,137,138,139,140							L.Haimberger	0	133.39
62	0-20000-0-02432	0	62	2432	3	OREBRO			0	15.045555555555556	59.22888888888889		19991026	19991107	1	0	63	NMS	196.0	Orebro									106,107,117,139,140							L.Haimberger	0	53.0
63	0-20000-0-02464	0	63	1:2465,2077,2465,5745,9:3718,9:4187,9:974,C:5745	3	STOCKHOLM/BROMMA			0	17.897777777777776	59.36527777777778		19210713	19950127	1	0	63	NMS	196.0	Solna									106,107,117,126,137,138,139,140,39							L.Haimberger	0	13.6
64	0-20000-0-02483	0	64	1:2077,2077	3	STOCKHOLM, SOL			0	18.063333333333333	59.35333333333333		19490101	19950127	1	0	63	NMS	196.0	Solna									106,107,117,126,138,139,140							L.Haimberger	0	30.0
65	0-20000-0-02501	0	65	2501	3	VADEROARNA			0	11.066111111111113	58.57611111111112		19850203	19950625	1	0	63	NMS	196.0	Uddevalla									106,107,117,126,137,138,139,140,39							L.Haimberger	0	23.6
66	0-20000-0-02515	0	66	2515	3	TORPABRON			0	12.154166666666669	58.19972222222222		1977	1977	1	0	63	NMS	196.0	Trollhattan									106,107,126,138							L.Haimberger	0	20.0
67	0-20000-0-02516	0	67	2517	3	VINGA			0	11.604722222222222	57.63222222222223		19870625	19870625	1	0	63	NMS	196.0	Goteborg									106,107,117,126,137,138,139,140,39							L.Haimberger	0	19.0
68	0-20000-0-02518	0	68	2519	3	NIDINGEN			0	11.90638888888889	57.303888888888885		19890417	19890417	1	0	63	NMS	196.0	Varberg									106,107,117,139,140							L.Haimberger	0	1.7
69	0-20000-0-02520	0	69	2520	3	SATENAS			0	12.713888888888889	58.428888888888885		19850307	19850307	1	0	63	NMS	196.0	Vanersborg									106,107,117,139,140							L.Haimberger	0	54.0
70	0-20000-0-02527	0	70	1:2084,2527,5146	3	GOTEBORG/LANDVETTER			0	12.29111111111111	57.657222222222224		19120224	20211230	1	0	63	NMS	196.0	Goteborg,Lerum,Molnlycke									106,107,117,126,137,138,139,140,39							L.Haimberger	0	155.2
71	0-20000-0-02531	0	71	1:2515,1:2527,2084,2515,5679,9:3719,C:5679	3	GOTEBORG, SOL			0	11.979444444444445	57.687777777777775		19260611	19771002	1	0	63	NMS	196.0	Goteborg									106,107,117,126,137,138,139,140,39							L.Haimberger	0	94.0
72	0-20000-0-02544	0	72	2544	3	KARLSBORG			0	14.507222222222222	58.51361111111111		19800221	19890322	1	0	63	NMS	196.0	Motala									106,107,117,126,137,138,139,140,39							L.Haimberger	0	93.5
73	0-20000-0-02548	0	73	2313	3	VISINGSO			0	14.408611111111112	58.09527777777778		20130723	20140627	1	0	63	NMS	196.0	Tranas									106,107,126,138							L.Haimberger	0	94.83
74	0-20000-0-02556	0	74	5335,5336,9:4186	3	HAGSHULT			0	14.14	57.2925		19130915	19611230	1	0	63	NMS	196.0	Varnamo									106,107,117,126,137,138,139,140							L.Haimberger	0	169.0
75	0-20000-0-02562	0	75	5225,5226,5609,5700,5701,6098,9:4184,C:5225,C:5226,C:5609,C:5700,C:5701,C:6098	3	LINKOPING/MALMSLATT			0	15.525833333333336	58.39805555555556		19070605	44430630	1	0	63	NMS	196.0	Linkoping									106,107,117,126,137,138,139,140							L.Haimberger	0	93.0
76	0-20000-0-02591	0	76	1:2160,1:2591,2160,2591	3	VISBY AEROLOGISKA STATION			0	18.35	57.65		19660520	20200313	1	0	63	NMS	196.0	Visby									106,107,117,126,137,138,139,140,39							L.Haimberger	0	49.0
77	0-20000-0-02611	0	77	5212,5703,9:4183,C:5703	3	HELSINGBORG			0	12.765277777777778	56.03055555555555		19000421	19550421	1	0	63	NMS	196.0	Eslov									106,107,117,126,137,138,139,140							L.Haimberger	0	44.27
78	0-20000-0-02635	0	78	5224,5708,C:5708	3	MALMO			0	13.073611111111113	55.57138888888889		19070605	19571231	1	0	63	NMS	196.0	Malmo									106,107,117,126,137,138,139,140							L.Haimberger	0	20.81
79	0-20000-0-02665	0	79	2668	3	KARLSKRONA, SOL			0	15.623055555555556	56.10944444444445		19880301	19880301	1	0	63	NMS	196.0	Karlskrona									106,107,117,126,137,138,139,140,39							L.Haimberger	0	8.0
80	0-20000-0-02667	0	80	5691,C:5691	3	KARLSKRONA-SODERSTJERNA			0	15.586666666666668	56.14305555555556		19080729	19570930	1	0	63	NMS	196.0	Karlskrona									106,107,117,126,137,138,139,140							L.Haimberger	0	4.1
81	0-20000-0-02679	0	81	2599	3	HOBURG A			0	18.150555555555552	56.92111111111111		19850314	19850314	1	0	63	NMS	196.0	Visby									106,107,117,39							L.Haimberger	0	36.3
82	0-20000-0-02814	0	82	5510,C:5510	3	KEMIJARVI AIRFIELD			0	27.159166666666664	66.71555555555555		19100106	19651231	1	0	63	NMS	69.0	Rovaniemi									106,107,117,126,137,138,139,140							L.Haimberger	0	209.0
83	0-20000-0-02832	0	83	9:4171	3	TOHMAJARVI KEMIE			0	30.346666666666664	62.23527777777778		19440703	19440708	1	0	63	NMS	69.0	Joensuu									117,126							L.Haimberger	0	90.0
84	0-20000-0-02836	0	84	2836	3	SODANKYLA ARCTIC RESEARCH CENTRE			0	26.628888888888888	67.36666666666666		19570901	20211231	1	0	63	NMS	69.0	Rovaniemi									106,107,117,126,137,138,139,140,39							L.Haimberger	0	179.3
85	0-20000-0-02847	0	85	9:4173	3	ROVANIEMI RAUTATIEASEMA			0	25.70888888888889	66.49833333333333		19420108	19440913	1	0	63	NMS	69.0	Rovaniemi									117,126							L.Haimberger	0	82.3
86	0-20000-0-02864	0	86	9:4168	3	KEMI-TORNIO AIRPORT			0	24.58277777777778	65.78944444444444		19441205	19450526	1	0	63	NMS	69.0	Kemi									117,126							L.Haimberger	0	14.5
87	0-20000-0-02917	0	87	2917	3	SIILINJARVI KUOPIO AIRPORT			0	27.808055555555555	62.998333333333335		19900924	19900924	1	0	63	NMS	69.0	Siilinjarvi									106,107,117,126,137,138,139,140,39							L.Haimberger	0	96.9
88	0-20000-0-02919	0	88	9:4170	3	LAPPEENRANTA HIEKKAPAKKA			0	28.47305555555556	61.19833333333333		19440710	19440919	1	0	63	NMS	69.0	Imatra									117,126							L.Haimberger	0	79.5
89	0-20000-0-02935	0	89	1:2935,2935	3	JYVASKYLA AIRPORT			0	25.67083333333333	62.3975		19570802	20161231	1	0	63	NMS	69.0	Laukaa									106,107,117,126,137,138,139,140,39							L.Haimberger	0	139.0
90	0-20000-0-02963	0	90	2963	3	JOKIOINEN OBSERVATORY			0	23.4975	60.81388888888888		19570901	20211231	1	0	63	NMS	69.0	Forssa									106,107,117,126,137,138,139,140,39							L.Haimberger	0	103.0
91	0-20000-0-02966	0	91	5526,5527,5528,C:5526,C:5527,C:5528	3	KOUVOLA UTTI AIRFIELD			0	26.948888888888888	60.89833333333333		18961114	19600921	1	0	63	NMS	69.0	Valkeala									106,107,117,126,137,138,139,140							L.Haimberger	0	99.5
92	0-20000-0-02974	0	92	1:2974,2974	3	VANTAA HELSINKI-VANTAA AIRPORT			0	24.956666666666667	60.32666666666667		19350220	19561231	1	0	63	NMS	69.0	Tuusula									106,107,117,126,138,139,140							L.Haimberger	0	53.5
93	0-20000-0-02981	0	93	2981	3	PARAINEN UTO			0	21.37472222222222	59.77916666666667		20000825	20010222	1	0	63	NMS	69.0	Parainen									106,107,117,126,137,138,139,140,39							L.Haimberger	0	6.8
94	0-20000-0-02982	0	94	2982	3	HANKO RUSSARO			0	22.94861111111112	59.77361111111111		19890820	19910409	1	0	63	NMS	69.0	Tammisaari									106,107,117,126,137,138,139,140,39							L.Haimberger	0	6.5
95	0-20000-0-03002	0	95	2001,3001,3007	3	BALTASOUND NO 2			0	-0.8555555555555555	60.748333333333335		19820512	19980503	1	0	63	NMS	76.0	Fraserburgh									106,107,117,126,137,138,139,140,39							L.Haimberger	0	15.0
96	0-20000-0-03005	0	96	1:3005,3003,3005,9:4174	3	LERWICK			0	-1.1847222222222222	60.13916666666667		19400607	20211231	1	0	63	NMS	76.0	Fraserburgh									106,107,117,126,137,138,139,140,39							L.Haimberger	0	82.0
97	0-20000-0-03023	0	97	3023	3	SOUTH UIST RANGE			0	-7.385000000000001	57.3575		19790731	20211201	1	0	63	NMS	76.0	Inverness									106,107,117,126,137,138,139,140,39							L.Haimberger	0	4.0
98	0-20000-0-03026	0	98	1:3026,3026	3	STORNOWAY AIRPORT			0	-6.318888888888889	58.21361111111111		19480101	20021025	1	0	63	NMS	76.0	Inverness									106,107,117,126,137,138,139,140,39							L.Haimberger	0	7.9
99	0-20000-0-03066	0	99	3066	3	KINLOSS			0	-3.563611111111111	57.64555555555555		19890919	20060331	1	0	63	NMS	76.0	Elgin									106,107,117,126,137,138,139,140,39							L.Haimberger	0	6.7
100	0-20000-0-03091	0	100	3091,5021,C:5021	3	DYCE			0	-2.205277777777778	57.205000000000005		19250414	20001216	1	0	63	NMS	76.0	Aberdeen									106,107,117,126,137,138,139,140,39							L.Haimberger	0	65.5
101	0-20000-0-03132	0	101	3130,3132	3	WEST FREUGH			0	-4.935277777777778	54.85916666666667		19930609	20150515	1	0	63	NMS	76.0	Stranraer									106,107,117,126,137,138,139,140,39							L.Haimberger	0	11.0
102	0-20000-0-03134	0	102	5731,C:5731	3	GLASGOW, BISHOPTON			0	-4.5325	55.906666666666666		19190430	19561231	1	0	63	NMS	76.0	Clydebank									106,107,117,126,137,138,139,140							L.Haimberger	0	59.0
103	0-20000-0-03162	0	103	3162,5128,C:5128	3	ESKDALEMUIR			0	-3.206944444444445	55.31194444444444		19140605	20000331	1	0	63	NMS	76.0	Hawick									106,107,117,126,137,138,139,140,39							L.Haimberger	0	242.0
104	0-20000-0-03171	0	104	1:3170,1:3171,3170,3171,5134,5208,5699,C:5134,C:5208,C:5699	3	LEUCHARS			0	-2.862777777777778	56.376666666666665		19080729	20060116	1	0	63	NMS	76.0	Buckhaven,Dundee,Saint Andrews									106,107,117,126,137,138,139,140,39							L.Haimberger	0	11.6
