primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-12575	5	37	-1	-1	TARNOW	-1	-1	0	21.43	50.28	NA	1958-01-01	1966-07-29	1	0	63	NMS	-1	Mielec	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	20.647571895195835	22.212428104804165	49.78	50.78	S. Schroeder	0
0-20000-0-78062	5	38	-1	-1	FREEPORT, GRAND BAHAMA	-1	-1	0	-78.37	26.62	NA	1958-01-02	1970-05-29	1	0	63	NMS	-1	Freeport	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-78.92928543949736	-77.81071456050265	26.12	27.12	S. Schroeder	0
0-20000-0-78077	5	39	-1	-1	DUNMORE TOWN, HARBOUR IS., ELEUTHERA	-1	-1	0	-76.3	25.27	NA	1958-01-02	1970-05-29	1	0	63	NMS	-1	Nassau	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-76.85291007144878	-75.74708992855122	24.77	25.77	S. Schroeder	0
0-20000-0-78118	5	40	-1	-1	GRAND TURK	-1	-1	0	-71.15	21.45	NA	1958-01-06	1970-05-27	1	0	63	NMS	-1	Monte Cristi	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-71.68720865842461	-70.6127913415754	20.95	21.95	S. Schroeder	0
0-20000-0-78089	5	41	-1	-1	COCKBURN TOWN, SAN SALVADOR (78089-0)	-1	-1	0	-74.52	24.07	NA	1958-01-02	1964-12-04	1	0	63	NMS	-1	Nassau	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-75.06761642352642	-73.97238357647358	23.57	24.57	S. Schroeder	0
0-20000-0-72210	5	42	-1	-1	TAMPA BAY AREA, FL.	-1	-1	0	-82.38	27.7	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Bloomingdale	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-82.94472057789433	-81.81527942210566	27.2	28.2	S. Schroeder	0
0-20001-0-72202	5	43	-1	-1	MIAMI, FL (72202-1)	-1	-1	0	-80.27	25.8	NA	1958-01-01	1977-02-22	1	0	63	NMS	-1	Miami Springs	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-80.82535885275531	-79.71464114724468	25.3	26.3	S. Schroeder	0
0-20000-0-12843	5	44	-1	-1	BUDAPEST/PESTSZENTLORINC	-1	-1	0	19.18	47.43	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Gyál	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	18.44089127415787	19.91910872584213	46.93	47.93	S. Schroeder	0
0-20000-0-72201	5	45	-1	-1	KEY WEST/INT., FL	-1	-1	0	-81.7	24.58	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Key West	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-82.24982433147527	-81.15017566852474	24.08	25.08	S. Schroeder	0
-1	-1	46	-1	-1		-1	-1	0	-89.38	29.97	NA	1958-01-01	1965-02-12	1	0	63	NMS	-1	Long Beach	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-89.95717586811185	-88.80282413188814	29.47	30.47	S. Schroeder	0
