	primary_id	primary_id_scheme	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
1199	0-20000-0-34047	0	34047	1	ZERDEVKA			0	41.48	51.83		19810310	19810310	1	0	63			Zherdevka									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1200	0-20000-0-34072	0	2:34072,34072	1	KARABULAK			0	46.37	52.33		19600208	19650115	1	0	63			Chalons-En-Champagne									104,105,106,107,117							L.Haimberger	0
1201	0-20000-0-34109	0	2:34109	1	OBOJAN'			0	36.32	51.2		19440423	19450331	1	0	63			Modugno									106,107							L.Haimberger	0
1202	0-20000-0-34110	0	2:34110	1	BOGORODITSKOE-FENINO			0	37.35	51.17		19440401	19450531	1	0	63			Cerignola									106,107							L.Haimberger	0
1203	0-20000-0-34122	0	1:34122,34122	1	VORONEZ (34122-0)			0	39.25	51.65		19600328	20210430	1	0	63			Voronezh									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1204	0-20000-0-34123	0	2:34123	1	VORONEZ (34123-0)			0	39.22	51.7		19440201	19440824	1	0	63			San Giovanni Rotondo									106,107							L.Haimberger	0
1205	0-20000-0-34139	0	1:34139,2:34139,34139	1	KAMENNAJA STEP'			0	40.7	51.05		19450122	19611102	1	0	63			Florence,Talovaya									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1206	0-20000-0-34152	0	34152	1	BALASHOV			0	43.15	51.55		19830524	19911217	1	0	63			Balashov									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1207	0-20000-0-34163	0	2:34163	1	OKTYABRSKY GORODOK			0	45.45	51.63		19470603	19470715	1	0	63			Kitzingen									106,107							L.Haimberger	0
1208	0-20000-0-34186	0	34186	1	ERSHOV			0	48.3	51.37		19931116	19931116	1	0	63			Yershov									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1209	0-20000-0-34247	0	1:34247,34247	1	KALACH			0	41.05	50.42		19601206	20210430	1	0	63			Buturlinovka									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1210	0-20000-0-34300	0	1:34300,34300,C:4557,C:4616,C:5180,C:6158	1	Kharkiv			0	36.28	49.93		19260506	20210429	1	0	63			Solonytsivka,Vysokyy									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1211	0-20000-0-34504	0	C:5117	1	Dnipro			0	35.09	48.36		19250414	19271015	1	0	63			Pidhorodne									106,107							L.Haimberger	0
1212	0-20000-0-34510	0	34510	1	Bakhmut			0	38.01	48.56		19840730	19840730	1	0	63			Artemovsk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1213	0-20000-0-34519	0	34519	1	Donetsk			0	37.73	48.07		19830104	19861216	1	0	63			Avdiyivka									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1214	0-20000-0-34523	0	C:5216	1	Luhansk			0	39.23	48.57		19271014	19271015	1	0	63			Krasnodon									106,107							L.Haimberger	0
1215	0-20000-0-34579	0	34579	1	VERHNIJ BASKUNCHAK			0	46.73	48.22		19910607	19910607	1	0	63			Akhtubinsk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1216	0-20000-0-34609	0	34609	1	Kyrylivka			0	36.34	47.33		19860824	19860824	1	0	63			Polohy									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1217	0-20000-0-34712	0	34712	1	Mariupol			0	37.48	47.04		19931106	19931106	1	0	63			Sartana									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1218	0-20000-0-34737	0	1:34737,34737	1	KUSHCHEVSKAJA			0	39.62	46.53		19760617	20010817	1	0	63			Kushchevskaya									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1219	0-20000-0-34838	0	34838	1	TIHORECK			0	40.08	45.85		19790604	19880903	1	0	63			Tikhoretsk									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1220	0-20000-0-34845	0	34845	1	GORODOVIKOVSK			0	41.97	46.07		20021012	20021012	1	0	63			Gorodovikovsk									104,105,106,107,117							L.Haimberger	0
1221	0-20000-0-34858	0	1:34858,34858	1	DIVNOE			0	43.35	45.92		19571101	20210217	1	0	63			Divnoye									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1222	0-20000-0-34861	0	34861	1	ELISTA			0	44.18	46.3		19910919	19910919	1	0	63			Elista									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1223	0-20000-0-34866	0	1:34866,34866	1	YASHKUL'			0	45.35	46.18		19500927	19571105	1	0	63			Elista									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1224	0-20000-0-34924	0	34924	1	SLAVJANSK-NA-KUBANI			0	38.12	45.28		20120803	20120822	1	0	63			Slavyansk-Na-Kubani									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1225	0-20000-0-34929	0	34929	1	KRASNODAR			0	39.15	45.03		19880318	19880318	1	0	63			Pashkovskiy									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1226	0-20000-0-35001	0	2:35001	1	BOL'SAJA GLUSCICA			0	50.47	52.38		19451108	19480220	1	0	63			Bremen									106,107							L.Haimberger	0
1227	0-20000-0-35026	0	35026	1	ZILAIR			0	57.48	52.24		19890406	19890406	1	0	63			Baymak									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1228	0-20000-0-35068	0	35067	1	ESIL'			0	66.42	51.97		19860609	19921113	1	0	63			Esil									104,105,106,107,117,126,138,36,39							L.Haimberger	0
