	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	,primary_id,primary_id_scheme,record_number,secondary_id,secondary_id_scheme,station_name,station_abbreviation,alternative_name,station_crs,longitude,latitude,local_gravity,start_date,end_date,station_type,platform_type,platform_sub_type,operating_institute,operating_territory,city,contact,role,observing_frequency,reporting_time,telecommunication_method,station_automation,measuring_system_model,measuring_system_id,observed_variables,comment,optional_data,bbox_min_longitude,bbox_max_longitude,bbox_min_latitude,bbox_max_latitude,metadata_contact,metadata_contact_role
295	0-20000-0-07205	0.0	295	C:4498,C:4499,C:6097	1.0,3.0	LORIENT LANN BIHOUE			0.0	-3.44	47.76		19220102	19270413	1.0	0.0	63.0			Lorient									106,107							L.Haimberger	0.0	
296	0-20000-0-07207	0.0	296	C:5743	1.0,3.0	BELLE ILE-LE TALUT			0.0	-3.22	47.29		19200102	19200123	1.0	0.0	63.0			Auray									106,107							L.Haimberger	0.0	
297	0-20000-0-07222	0	297	07222,1:7222,7222,FRM00007222	3	NANTES,NANTES-BOUGUENAIS			0	-1.61	47.15		19620305	19900129	1	0	63	NMS	74.0	Bouguenais					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
298	0-20000-0-07230	0.0	298	C:5040,C:5637	1.0,3.0	BEAUCOUZE			0.0	-0.61	47.48		19270617	19340628	1.0	0.0	63.0			Angers									106,107							L.Haimberger	0.0	
299	0-20000-0-07240	0.0	299	07240,1:7240,7240,C:4519,C:5627	1.0,3.0	TOURS			0.0	0.73	47.44		19201127	20011029	1.0	0.0	63.0			Saint-Cyr-Sur-Loire,Tours									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
300	0-20000-0-07249	0.0	300	C:4511,C:5267,C:5722	1.0,3.0	ORLEANS			0.0	1.78	47.99		19201207	19340608	1.0	0.0	63.0			Orleans,Saran									106,107							L.Haimberger	0.0	
301	0-20000-0-07255	0	301	07255,1:7255,7255,FRM00007255	3	BOURGES			0	2.36	47.06		19671105	20011024	1	0	63	NMS	74.0	Bourges					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
302	0-20000-0-07257	0.0	302	07257,C:5048,C:6084	1.0,3.0	AVORD			0.0	2.64	47.05		19270215	19850106	1.0	0.0	63.0			Bourges									104,105,106,107,117							L.Haimberger	0.0	
303	0-20000-0-07266	0	303	07265,1:7265,7265,FRM00007265	3	AUXERRE,AUXERRE PERRIGNY			0	3.55	47.82		19691104	19991214	1	0	63	NMS	74.0	Auxerre					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
304	0-20000-0-07280	0	304	07280,1:07280,1:7280,7280,FRM00007280	3	DIJON,DIJON-LONGVIC			0	5.09	47.27		19201204	20030618	1	0	63	NMS	74.0	Chenove,Chen̫ve					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
305	0-20000-0-07288	0.0	305	07288	1.0,3.0	BESANCON			0.0	5.99	47.25		19830606	19830606	1.0	0.0	63.0			Besancon									104,105,106,107,117							L.Haimberger	0.0	
306	0-20000-0-07292	0.0	306	2:34020	1.0,3.0	LUXEUIL			0.0	6.36	47.79		19440922	19440925	1.0	0.0	63.0			Vesoul									106,107							L.Haimberger	0.0	
307	0-20000-0-07296	0.0	307	C:5059	1.0,3.0	DORANS			0.0	6.84	47.59		19270613	19280304	1.0	0.0	63.0			Belfort									106,107							L.Haimberger	0.0	
308	0-20000-0-07299	0.0	308	C:6101	1.0,3.0	BALE-MULHOUSE			0.0	7.51	47.61		19250502	19250502	1.0	0.0	63.0			Rixheim									106,107							L.Haimberger	0.0	
309	0-20000-0-07335	0.0	309	1:07335,C:5285,C:6104,C:8040	1.0,3.0	POITIERS-BIARD			0.0	0.31	46.59		19210315	19481231	1.0	0.0	63.0			Poitiers									106,107							L.Haimberger	0.0	
310	0-20000-0-07354	0	310	07354,1:7354,2:34048,34048,7354,C:5097,C:5655,FRM00007354	3	CHATEAUROUX,CHATEAUROUX DEOLS			0	1.74	46.87		19280318	19640805	1	0	63	NMS	74.0	Chateauroux,Ch̢teauroux					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
311	0-20000-0-07385	0.0	311	07385	1.0,3.0	MACON			0.0	4.8	46.3		19840325	19851010	1.0	0.0	63.0			Macon									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
312	0-20000-0-07386	0.0	312	2:34010	1.0,3.0	DOLE-TAVAUX			0.0	5.43	47.04		19440920	19441031	1.0	0.0	63.0			Dole									106,107							L.Haimberger	0.0	
313	0-20000-0-07412	0	313	07412,1:7412,7412,FRM00007412	3	COGNAC			0	-0.32	45.66		19691102	19960611	1	0	63	NMS	74.0	Cognac					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
314	0-20000-0-07434	0	314	07434,07435,1:7435,7434,7435,C:5211,C:6096,FRM00007434	3	LIMOGES,LIMOGES-BELLEGARDE			0	1.18	45.86		19250306	19860920	1	0	63	NMS	74.0	Limoges					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
315	0-20000-0-07460	0.0	315	07460,C:5657	1.0,3.0	CLERMONT-FERRAND			0.0	3.15	45.79		19230901	19880422	1.0	0.0	63.0			Aubiere,Clermont-Ferrand									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
316	0-20000-0-07468	0.0	316	07488	1.0,3.0	MOUCHEROTTE RADAR			0.0	5.64	45.15		19800312	19940530	1.0	0.0	63.0			Grenoble									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
317	0-20000-0-07471	0.0	317	07470,1:7470,7470,C:5204	1.0,3.0	LE PUY-LOUDES			0.0	3.76	45.07		19270618	19831022	1.0	0.0	63.0			Firminy									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
