,Country,City,AccentCity,Region,Population,Latitude,Longitude
311842,br,porto feliz,Porto Feliz,27,41016.0,-23.213333,-47.523056
311845,br,porto ferreira,Pôrto Ferreira,27,49128.0,-21.85,-47.466667
311855,br,porto franco,Pôrto Franco,13,14874.0,-6.3333330000000005,-47.4
311958,br,porto murtinho,Pôrto Murtinho,11,12672.0,-21.7,-57.86666700000001
311959,br,porto nacional,Porto Nacional,31,40862.0,-10.708056,-48.30833300000001
312030,br,porto real,Porto Real,21,12061.0,-22.4172,-44.2861
312079,br,porto seguro,Pôrto Seguro,5,123196.0,-16.433332999999998,-39.083333
312109,br,porto uniao,Pôrto União,26,28907.0,-26.25,-51.083333
312125,br,porto velho,Pôrto Velho,24,306206.0,-8.766667,-63.9
312153,br,posse,Posse,29,20003.0,-14.083332999999998,-46.366667
312222,br,pouso alegre,Pouso Alegre,15,115203.0,-22.216667,-45.93333300000001
312269,br,pradopolis,Pradópolis,27,13193.0,-21.366667,-48.066667
312270,br,prado,Prado,5,15466.0,-17.35,-39.216667
312293,br,praia grande,Praia Grande,27,250032.0,-24.0,-46.4
312331,br,prata,Prata,15,19896.0,-19.3,-48.916667
312380,br,presidente bernardes,Presidente Bernardes,27,12954.0,-22.05,-51.55
312381,br,presidente dutra,Presidente Dutra,2,30330.0,-5.25,-44.5
312385,br,presidente epitacio,Presidente Epitácio,27,38742.0,-21.766667,-52.1
312394,br,presidente medici,Presidente Médici,24,11923.0,-11.283333,-61.916667
312396,br,presidente olegario,Presidente Olegário,15,13587.0,-18.416667,-46.416667
312402,br,presidente prudente,Presidente Prudente,27,209507.0,-22.116667,-51.366667
312409,br,presidente venceslau,Presidente Venceslau,27,34026.0,-21.866667,-51.833333
312446,br,princesa isabel,Princesa Isabel,17,12616.0,-7.733333,-38.0
312472,br,promissao,Promissão,27,27032.0,-21.533333,-49.866667
312473,br,propria,Propriá,28,23787.0,-10.216667,-36.85
312496,br,prudentopolis,Prudentópolis,18,19611.0,-25.2,-50.95
312563,br,quarai,Quaraí,23,23229.0,-30.383333,-56.45
312577,br,quata,Quatá,27,10370.0,-22.266667,-50.7
312594,br,quatis,Quatis,21,10289.0,-22.4099,-44.2594
312600,br,quatro barras,Quatro Barras,18,17526.0,-25.366667,-49.083333
312656,br,queimadas,Queimadas,5,10439.0,-10.966667,-39.633333
312659,br,queimadas,Queimadas,17,20446.0,-7.35,-35.916667
312678,br,queimados,Queimados,21,135742.0,-22.722897,-43.556316
312768,br,quipapa,Quipapá,30,11533.0,-8.833333,-36.033333
312778,br,quirinopolis,Quirinópolis,29,32104.0,-18.533333,-50.5
312814,br,quixada,Quixadá,6,49328.0,-4.966667,-39.016667
312822,br,quixeramobim,Quixeramobim,6,34322.0,-5.2,-39.283333
312824,br,quixere,Quixeré,6,11258.0,-5.0833330000000005,-37.983333
312901,br,rancharia,Rancharia,27,25531.0,-22.25,-50.916667
312946,br,raposa,Raposa,13,11883.0,-6.516667,-44.18333300000001
312951,br,raposos,Raposos,15,13263.0,-19.95,-43.8
312965,br,raul soares,Raul Soares,15,13210.0,-20.083333,-42.366667
312971,br,realeza,Realeza,18,10389.0,-25.783333,-53.51666700000001
313011,br,recife,Recife,30,1478118.0,-8.05,-34.9
313052,br,redencao,Redenção,6,14174.0,-4.216667,-38.716667
313084,br,regeneracao,Regeneração,20,13608.0,-6.25,-42.68333300000001
313085,br,regente feijo,Regente Feijó,27,17219.0,-22.25,-51.333333
313097,br,registro,Registro,27,45698.0,-24.5,-47.833333
313114,br,remanso,Remanso,5,22780.0,-9.683333,-42.066667
313159,br,reriutaba,Reriutaba,6,12076.0,-4.166667,-40.583333
313161,br,resende,Resende,21,111515.0,-22.4679,-44.4575
313165,br,reserva,Reserva,18,11097.0,-24.633333,-50.866667
313180,br,resplendor,Resplendor,15,15131.0,-19.333333,-41.25
313322,br,riachao das neves,Riachão das Neves,5,11236.0,-11.766667,-44.93333300000001
313330,br,riachao do jacuipe,Riachão do Jacuípe,5,16911.0,-11.8,-39.35
313338,br,riachao,Riachão,13,12428.0,-7.366667,-46.616667
313405,br,riacho de santana,Riacho de Santana,5,12658.0,-13.616667,-42.95
313559,br,ribas do rio pardo,Ribas do Rio Pardo,11,11935.0,-20.45,-53.76666700000001
313563,br,ribeira do pombal,Ribeira do Pombal,5,28236.0,-10.833333,-38.533333
313568,br,ribeirao bonito,Ribeirão Bonito,27,10877.0,-22.066667,-48.166667
313586,br,ribeirao das neves,Ribeirão das Neves,15,406840.0,-19.783333,-44.1
313611,br,ribeirao do pinhal,Ribeirão do Pinhal,18,11275.0,-23.4,-50.3
313635,br,ribeirao pires,Ribeirão Pires,27,111890.0,-23.716667,-46.416667
313636,br,ribeirao preto,Ribeirão Prêto,27,551278.0,-21.166667,-47.8
313647,br,ribeirao,Ribeirão,30,29819.0,-8.516667,-35.383333
313678,br,ribeiropolis,Ribeirópolis,28,11215.0,-10.533333,-37.43333300000001
313734,br,rio bonito,Rio Bonito,21,35997.0,-22.716667,-42.616667
313737,br,rio branco do sul,Rio Branco do Sul,18,26441.0,-25.166667,-49.3
313738,br,rio branco,Rio Branco,1,257645.0,-9.966667,-67.8
313749,br,rio brilhante,Rio Brilhante,11,18837.0,-21.8,-54.55
313759,br,rio casca,Rio Casca,15,11769.0,-20.216667,-42.65
313766,br,rio claro,Rio Claro,21,12620.0,-22.716667,-44.15
313767,br,rio claro,Rio Claro,27,180151.0,-22.4,-47.55
313802,br,rio das ostras,Rio das Ostras,21,46619.0,-22.533333,-41.95
313807,br,rio das pedras,Rio das Pedras,27,23722.0,-22.833333,-47.6
313816,br,rio de janeiro,Rio de Janeiro,21,6023742.0,-22.9,-43.233333
313875,br,rio do sul,Rio do Sul,26,51945.0,-27.2181,-49.6436
313887,br,rio formoso,Rio Formoso,30,15518.0,-8.666667,-35.15
313892,br,rio grande da serra,Rio Grande da Serra,27,38162.0,-23.8,-46.333333
313901,br,rio grande,Rio Grande,23,187842.0,-32.033333,-52.083333
313909,br,rio largo,Rio Largo,2,63389.0,-9.483333,-35.85
313921,br,rio negrinho,Rio Negrinho,26,41915.0,-26.239449,-49.499857
313924,br,rio negro,Rio Negro,18,23007.0,-26.0934,-49.7895
313949,br,rio pardo,Rio Pardo,23,26999.0,-29.983333,-52.366667
313955,br,rio piracicaba,Rio Piracicaba,15,10439.0,-19.916667,-43.18333300000001
313956,br,rio pomba,Rio Pomba,15,13707.0,-21.283333,-43.18333300000001
313973,br,rio real,Rio Real,5,24006.0,-11.466667,-37.93333300000001
313987,br,rio tinto,Rio Tinto,17,11804.0,-6.8,-35.083333
313992,br,rio verde de mato grosso,Rio Verde de Mato Grosso,11,16613.0,-18.933333,-54.86666700000001
314121,br,rolandia,Rolândia,18,51005.0,-23.3,-51.366667
314122,br,rolante,Rolante,23,15594.0,-29.666667,-50.566667
314127,br,rolim de moura,Rolim de Moura,24,37953.0,-13.083333,-62.26666700000001
314160,br,rondonopolis,Rondonópolis,14,152921.0,-16.466667,-54.63333299999999
314189,br,rosario do sul,Rosário do Sul,23,36722.0,-30.25,-54.916667
314190,br,rosario oeste,Rosário Oeste,14,10469.0,-14.833332999999998,-56.416667
314195,br,rosario,Rosário,13,23271.0,-2.95,-44.233333
314235,br,rubiataba,Rubiataba,29,16128.0,-15.133333,-49.8
314262,br,russas,Russas,6,39465.0,-4.933333,-37.966667
314266,br,ruy barbosa,Ruy Barbosa,5,21093.0,-12.3,-40.45
314270,br,sabara,Sabará,15,158359.0,-19.9,-43.8
314392,br,sacramento,Sacramento,15,16983.0,-19.883333,-47.45
314466,br,salgueiro,Salgueiro,30,42153.0,-8.066667,-39.1
314485,br,salinas,Salinas,15,25747.0,-16.166667,-42.283333
314490,br,salinopolis,Salinópolis,16,40999.0,-0.616667,-47.333333
314531,br,salto de pirapora,Salto de Pirapora,27,32228.0,-23.6494,-47.5715
314554,br,salto,Salto,27,98389.0,-23.2,-47.283333
314559,br,salvador,Salvador,5,2711903.0,-12.983333,-38.516667
314662,br,santa adelia,Santa Adélia,27,12585.0,-21.266667,-48.8
314724,br,santa barbara,Santa Bárbara,15,19991.0,-19.933333,-43.4
314752,br,santa cecilia,Santa Cecília,26,15092.0,-26.933333,-50.45
314778,br,santa cruz cabralia,Santa Cruz Cabrália,5,19549.0,-16.283333,-39.033333
314789,br,santa cruz das palmeiras,Santa Cruz das Palmeiras,27,25801.0,-21.816667,-47.25
314799,br,santa cruz do capibaribe,Santa Cruz do Capibaribe,30,76451.0,-7.95,-36.2
314815,br,santa cruz do rio pardo,Santa Cruz do Rio Pardo,27,37336.0,-22.916667,-49.616667
314820,br,santa cruz do sul,Santa Cruz do Sul,23,106115.0,-29.716667,-52.433333
314839,br,santa cruz,Santa Cruz,22,27776.0,-6.216667,-36.016667
314876,br,santa fe do sul,Santa Fé do Sul,27,25802.0,-20.216667,-50.93333300000001
314904,br,santa gertrudes,Santa Gertrudes,27,18490.0,-22.466667,-47.516667
314905,br,santa helena de goias,Santa Helena de Goiás,29,34254.0,-17.716667,-50.583333
314909,br,santa helena,Santa Helena,13,16045.0,-2.233333,-45.3
314925,br,santa ines,Santa Inês,5,10521.0,-13.283333,-39.8
314926,br,santa ines,Santa Inês,13,67426.0,-3.65,-45.366667
314938,br,santa isabel do para,Santa Isabel do Pará,16,39284.0,-1.266667,-48.18333300000001
314956,br,santa isabel,Santa Isabel,27,33709.0,-23.3158,-46.2241
315016,br,santa luzia,Santa Luzia,13,22910.0,-7.633333,-47.2
315017,br,santa luzia,Santa Luzia,15,243506.0,-19.783333,-43.866667
315019,br,santa luzia,Santa Luzia,17,13243.0,-6.883333,-36.93333300000001
315042,br,santa maria da boa vista,Santa Maria da Boa Vista,30,14695.0,-8.816667,-39.816667
315046,br,santa maria da vitoria,Santa Maria da Vitória,5,23489.0,-13.4,-44.2
315062,br,santa maria do para,Santa Maria do Pará,16,12915.0,-1.35,-47.566667
315093,br,santa maria,Santa Maria,23,249224.0,-29.683333,-53.8
315122,br,santana de parnaiba,Santana de Parnaíba,27,98991.0,-23.45,-46.916667
315126,br,santana do acarau,Santana do Acaraú,6,14707.0,-3.45,-40.2
315138,br,santana do ipanema,Santana do Ipanema,2,26147.0,-9.366667,-37.233333
315141,br,santana do livramento,Santana do Livramento,23,89696.0,-30.883333,-55.51666700000001
315149,br,santana do paraiso,Santana do Paraíso,15,25537.0,-19.366667,-42.533333
315167,br,santana,Santana,5,12629.0,-14.466667,-41.8
315228,br,santa quiteria do maranhao,Santa Quitéria do Maranhão,13,17180.0,-3.516667,-42.533333
315230,br,santa quiteria,Santa Quitéria,6,24391.0,-4.3333330000000005,-40.166667
315243,br,santarem,Santarém,16,189053.0,-2.433333,-54.7
315282,br,santa rita do passa quatro,Santa Rita do Passa Quatro,27,24579.0,-21.7,-47.466667
315293,br,santa rita do sapucai,Santa Rita do Sapucaí,15,28766.0,-22.25,-45.7
315307,br,santa rita,Santa Rita,13,13226.0,-3.833333,-43.883333
315311,br,santa rita,Santa Rita,17,119895.0,-7.133333,-34.966667
315323,br,santa rosa de viterbo,Santa Rosa de Viterbo,27,21473.0,-21.466667,-47.35
315341,br,santa rosa,Santa Rosa,23,58958.0,-27.866667,-54.483333
315425,br,santa vitoria do palmar,Santa Vitória do Palmar,23,27776.0,-33.516667,-53.35
315428,br,santa vitoria,Santa Vitória,15,11657.0,-18.833333,-50.133333
315440,br,santiago,Santiago,23,46612.0,-29.183333,-54.88333299999999
315458,br,santo amaro da imperatriz,Santo Amaro da Imperatriz,26,18420.0,-27.683333,-48.766667
315466,br,santo amaro,Santo Amaro,5,46749.0,-12.533333,-38.716667
315481,br,santo anastacio,Santo Anastácio,27,17233.0,-21.966667,-51.65
315488,br,santo andre,Santo André,27,662387.0,-23.666667,-46.516667
315491,br,santo angelo,Santo Ângelo,23,64607.0,-28.3,-54.26666700000001
315511,br,santo antonio da platina,Santo Antônio da Platina,18,35260.0,-23.2942,-50.075
315526,br,santo antonio de jesus,Santo Antônio de Jesus,5,73959.0,-12.966667,-39.266667
315530,br,santo antonio de padua,Santo Antônio de Pádua,21,33076.0,-21.533333,-42.18333300000001
315531,br,santo antonio de posse,Santo Antônio de Posse,27,18149.0,-22.6,-46.916667
315535,br,santo antonio do amparo,Santo Antônio do Amparo,15,16730.0,-20.95,-44.916667
315568,br,santo antonio do monte,Santo Antônio do Monte,15,22592.0,-20.083333,-45.283333
315602,br,santo antonio do sudoeste,Santo Antônio do Sudoeste,18,11723.0,-26.068889,-53.725278
315626,br,santo antonio,Santo Antônio,22,12529.0,-6.3,-35.45
315634,br,santo augusto,Santo Augusto,23,10305.0,-27.85,-53.783333
315648,br,santo estevao,Santo Estêvão,5,27280.0,-12.433333,-39.216667
315688,br,santos dumont,Santos Dumont,15,41582.0,-21.466667,-43.566667
315698,br,santos,Santos,27,411411.0,-23.95,-46.333333
315732,br,sao benedito do rio preto,São Benedito do Rio Prêto,13,12081.0,-3.333333,-43.583333
315763,br,sao bento do sul,São Bento do Sul,26,77598.0,-26.249722,-49.3825
315766,br,sao bento do una,São Bento do Una,30,24506.0,-8.533333,-36.366667
315775,br,sao bento,São Bento,13,17245.0,-2.7,-44.833333
315779,br,sao bento,São Bento,17,24749.0,-6.283333,-37.75
315795,br,sao bernardo do campo,São Bernardo do Campo,27,743386.0,-23.7,-46.55
315800,br,sao bernardo,São Bernardo,13,11171.0,-3.366667,-42.4
315814,br,sao borja,São Borja,23,59614.0,-28.65,-56.0
315842,br,sao caetano do sul,São Caetano do Sul,27,136456.0,-23.6,-46.566667
315857,br,sao caitano,São Caitano,30,25259.0,-8.35,-36.1
315870,br,sao carlos,São Carlos,27,205039.0,-22.016667,-47.9
315895,br,sao cristovao,São Cristóvão,28,71540.0,-11.016667,-37.2
315913,br,sao domingos do maranhao,São Domingos do Maranhão,13,18275.0,-5.7,-44.366667
315955,br,sao felix do xingu,São Félix do Xingu,16,16478.0,-6.633333,-51.983333
315977,br,sao fidelis,São Fidélis,21,27793.0,-21.65,-41.733333
315995,br,sao francisco de assis,São Francisco de Assis,23,14305.0,-29.55,-55.13333299999999
315999,br,sao francisco de paula,São Francisco de Paula,23,13292.0,-29.45,-50.583333
316006,br,sao francisco do conde,São Francisco do Conde,5,24615.0,-12.65,-38.68333300000001
316013,br,sao francisco do sul,São Francisco do Sul,26,36225.0,-26.233333,-48.65
316026,br,sao francisco,São Francisco,15,33033.0,-15.95,-44.866667
316046,br,sao gabriel da cachoeira,São Gabriel da Cachoeira,4,15232.0,-0.13333299999999998,-67.083333
316054,br,sao gabriel,São Gabriel,23,55435.0,-30.333333000000003,-54.316667
316060,br,sao geraldo do araguaia,São Geraldo do Araguaia,16,12925.0,-6.4,-48.533333
316080,br,sao goncalo do amarante,São Gonçalo do Amarante,6,23583.0,-3.6,-38.966667
316081,br,sao goncalo do amarante,São Gonçalo do Amarante,22,10381.0,-5.766667,-35.333333
316089,br,sao goncalo do sapucai,São Gonçalo do Sapucaí,15,19487.0,-21.9,-45.6
316090,br,sao goncalo dos campos,São Gonçalo dos Campos,5,14822.0,-12.416667,-38.966667
316098,br,sao goncalo,São Gonçalo,21,939101.0,-22.800278,-43.025556
316103,br,sao gotardo,São Gotardo,15,34145.0,-19.316667,-46.05
316121,br,sao jeronimo,São Jerônimo,23,17057.0,-29.966667,-51.716667
316143,br,sao joao batista,São João Batista,26,14539.0,-27.266667,-48.833333
316147,br,sao joao da barra,São João da Barra,21,20606.0,-21.633333,-41.05
316148,br,sao joao da boa vista,São João da Boa Vista,27,76541.0,-21.966667,-46.783333
316189,br,sao joao del rei,São João del Rei,15,78593.0,-21.15,-44.266667
316193,br,sao joao de meriti,São João de Meriti,21,454855.0,-22.798614,-43.360894
316197,br,sao joao de pirabas,São João de Pirabas,16,10065.0,-0.766667,-47.166667
316245,br,sao joao do piaui,São João do Piauí,20,12689.0,-8.35,-42.25
316258,br,sao joao dos patos,São João dos Patos,13,19539.0,-6.5,-43.7
316267,br,sao joao evangelista,São João Evangelista,15,10049.0,-18.533333,-42.75
316272,br,sao joao nepomuceno,São João Nepomuceno,15,23155.0,-21.55,-43.016667
316300,br,sao joaquim da barra,São Joaquim da Barra,27,42720.0,-20.583333,-47.883333
316303,br,sao joaquim de bicas,São Joaquim de Bicas,15,14630.0,-20.05,-44.283333
316306,br,sao joaquim do monte,São Joaquim do Monte,30,13520.0,-8.416667,-35.85
316331,br,sao joaquim,São Joaquim,26,16250.0,-28.3,-49.93333300000001
316358,br,sao jose da coroa grande,São José da Coroa Grande,30,11512.0,-8.9,-35.15
316367,br,sao jose da laje,São José da Laje,2,12811.0,-9.0,-36.033333
316389,br,sao jose da tapera,São José da Tapera,2,12392.0,-9.633333,-37.383333
316407,br,sao jose de mipibu,São José de Mipibu,22,15317.0,-6.0833330000000005,-35.25
316410,br,sao jose de ribamar,São José de Ribamar,13,27777.0,-2.55,-44.05
316428,br,sao jose do belmonte,São José do Belmonte,30,14211.0,-7.866667,-38.766667
316437,br,sao jose do campestre,São José do Campestre,22,10254.0,-6.3,-35.7
316446,br,sao jose do egito,São José do Egito,30,18219.0,-7.466667,-37.266667
316491,br,sao jose do rio pardo,São José do Rio Pardo,27,46990.0,-21.6,-46.9
316493,br,sao jose do rio preto,São José do Rio Prêto,27,374706.0,-20.8,-49.383333
316499,br,sao jose dos campos,São José dos Campos,27,613776.0,-23.183333,-45.883333
316515,br,sao jose dos pinhais,São José dos Pinhais,18,229988.0,-25.516667,-49.216667
316544,br,sao jose,São José,26,203142.0,-27.633333,-48.65
316559,br,sao leopoldo,São Leopoldo,23,209233.0,-29.766667,-51.15
316563,br,sao lourenco da mata,São Lourenço da Mata,30,88417.0,-8.0,-35.05
316565,br,sao lourenco da serra,São Lourenço da Serra,27,13331.0,-23.866667,-46.95
316569,br,sao lourenco do oeste,São Lourenço do Oeste,26,14872.0,-26.4,-52.76666700000001
316570,br,sao lourenco do sul,São Lourenço do Sul,23,25341.0,-31.366667,-51.966667
316578,br,sao lourenco,São Lourenço,15,41144.0,-22.116667,-45.05
316599,br,sao luis de montes belos,São Luís de Montes Belos,29,23619.0,-16.533333,-50.333333
316605,br,sao luis do quitunde,São Luís do Quitunde,2,20564.0,-9.333333,-35.55
316617,br,sao luis,São Luís,13,917252.0,-2.516667,-44.266667
316640,br,sao luiz gonzaga,São Luiz Gonzaga,23,31798.0,-28.4,-54.966667
316680,br,sao manuel,São Manuel,27,33588.0,-22.733333,-48.566667
316690,br,sao marcos,São Marcos,23,18591.0,-28.966667,-51.066667
316706,br,sao mateus do maranhao,São Mateus do Maranhão,13,28234.0,-4.033333,-44.466667
316707,br,sao mateus do sul,São Mateus do Sul,18,24904.0,-25.866667,-50.383333
316710,br,sao mateus,São Mateus,8,77119.0,-18.733333,-39.85
316737,br,sao miguel do araguaia,São Miguel do Araguaia,29,18810.0,-13.316667,-50.216667
316740,br,sao miguel do guama,São Miguel do Guamá,16,28266.0,-1.616667,-47.45
316741,br,sao miguel do iguacu,São Miguel do Iguaçu,18,15434.0,-25.35,-54.166667
316742,br,sao miguel do oeste,São Miguel do Oeste,26,27360.0,-26.75,-53.566667
316743,br,sao miguel dos campos,São Miguel dos Campos,2,40891.0,-9.783333,-36.083333
316767,br,sao miguel,São Miguel,22,12838.0,-5.466667,-35.366667
316782,br,sao paulo de olivenca,São Paulo de Olivença,4,11763.0,-3.45,-68.8
316800,br,sao paulo,São Paulo,27,10021437.0,-23.473293,-46.665803
316805,br,sao pedro da aldeia,São Pedro da Aldeia,21,55014.0,-22.85,-42.1
316846,br,sao pedro do sul,São Pedro do Sul,23,12137.0,-29.616667,-54.166667
316869,br,sao pedro,São Pedro,27,27068.0,-22.55,-47.9
316880,br,sao raimundo das mangabeiras,São Raimundo das Mangabeiras,13,10216.0,-7.016667,-45.483333
316882,br,sao raimundo nonato,São Raimundo Nonato,20,19569.0,-9.016667,-42.7
316923,br,sao roque,São Roque,27,50541.0,-23.528458,-47.135273
316969,br,sao sebastiao do cai,São Sebastião do Caí,23,19013.0,-29.583333000000003,-51.383333
316983,br,sao sebastiao do paraiso,São Sebastião do Paraíso,15,57239.0,-20.916667,-47.0
316986,br,sao sebastiao do passe,São Sebastião do Passé,5,31050.0,-12.516667,-38.466667
317034,br,sao sebastiao,São Sebastião,27,76369.0,-23.8,-45.416667
317038,br,sao sepe,São Sepé,23,19182.0,-30.166667,-53.566667
317049,br,sao simao,São Simão,27,12351.0,-21.5,-47.55
317127,br,sao vicente,São Vicente,27,324464.0,-23.966667,-46.383333
317160,br,sape,Sapé,17,36149.0,-7.1,-35.216667
317171,br,sapiranga,Sapiranga,23,76053.0,-29.633333,-51.0
317191,br,sapucaia,Sapucaia,21,12329.0,-22.0,-42.9
317192,br,sapucaia,Sapucaia,23,130939.0,-29.833333000000003,-51.15
317203,br,saquarema,Saquarema,21,62057.0,-22.933333,-42.5
317221,br,sarandi,Sarandi,18,84698.0,-23.433333,-51.866667
317222,br,sarandi,Sarandi,23,15159.0,-27.933333,-52.916667
317248,br,sarzedo,Sarzedo,15,20800.0,-20.033333,-44.15
317256,br,satuba,Satuba,2,15898.0,-9.566667,-35.81666699999999
317262,br,saubara,Saubara,5,15669.0,-12.75,-38.75
317289,br,schroeder,Schroeder,26,15515.0,-26.433333,-49.066667
317291,br,seabra,Seabra,5,16765.0,-12.416667,-41.766667
317293,br,seara,Seara,26,10976.0,-27.116667,-52.283333
317371,br,senador canedo,Senador Canedo,29,61801.0,-16.716667,-49.083333
317374,br,senador guiomard,Senador Guiomard,1,11727.0,-10.166667,-67.833333
317379,br,senador pompeu,Senador Pompeu,6,16516.0,-5.5833330000000005,-39.366667
317386,br,sena madureira,Sena Madureira,1,20516.0,-9.066667,-68.666667
317389,br,senges,Sengés,18,14868.0,-24.1,-49.483333
317398,br,senhor do bonfim,Senhor do Bonfim,5,48472.0,-10.45,-40.18333300000001
317409,br,sento se,Sento Sé,5,19596.0,-9.666667,-41.3
317480,br,seropedica,Seropédica,21,54846.0,-22.747222,-43.716944
317582,br,serrana,Serrana,27,39826.0,-21.233333,-47.6
317590,br,serra negra,Serra Negra,27,22632.0,-22.6,-46.7
317626,br,serra,Serra,8,394160.0,-20.116667,-40.3
317632,br,serra talhada,Serra Talhada,30,51204.0,-7.983333,-38.3
317654,br,serrinha,Serrinha,5,49079.0,-11.65,-39.0
317679,br,serro,Sêrro,15,12616.0,-18.616667,-43.383333
317716,br,sertania,Sertânia,30,18190.0,-8.083333,-37.266667
317717,br,sertanopolis,Sertanópolis,18,13904.0,-23.066667,-51.033333
317733,br,sertaozinho,Sertãozinho,27,99213.0,-21.133333,-47.983333
317745,br,sete lagoas,Sete Lagoas,15,201337.0,-19.45,-44.233333
317768,br,severinia,Severínia,27,13212.0,-20.833333,-48.8
317775,br,sidrolandia,Sidrolândia,11,16878.0,-20.916667,-54.966667
317781,br,silva jardim,Silva Jardim,21,16889.0,-22.466667,-42.3
317783,br,silvania,Silvânia,29,11377.0,-16.666667,-48.6
317811,br,simao dias,Simão Dias,28,18386.0,-10.733333,-37.816667
325304,br,sobradinho,Sobradinho,5,19304.0,-12.5,-39.116667
325314,br,sobradinho,Sobradinho,23,13397.0,-29.4,-53.05
325332,br,sobral,Sobral,6,157998.0,-3.7,-40.35
325354,br,socorro,Socorro,27,24272.0,-22.6,-46.533333
325364,br,solanea,Solânea,17,17031.0,-6.75,-35.65
325378,br,soledade,Soledade,23,24791.0,-28.833333000000003,-52.5
325401,br,sombrio,Sombrio,26,14864.0,-29.116667,-49.666667
325405,br,sorocaba,Sorocaba,27,558874.0,-23.483333,-47.45
325430,br,soure,Soure,16,18212.0,-0.733333,-48.516667
325433,br,sousa,Sousa,17,47927.0,-6.75,-38.233333
325747,br,sumare,Sumaré,27,227982.0,-22.8,-47.283333
325752,br,sume,Sumé,17,10441.0,-7.65,-36.916667
325779,br,surubim,Surubim,30,34581.0,-7.833333,-35.75
325808,br,suzano,Suzano,27,283319.0,-23.533333,-46.333333
325834,br,tabatinga,Tabatinga,4,28230.0,-4.240833,-69.942222
325840,br,tabatinga,Tabatinga,27,11617.0,-21.716667,-48.68333300000001
325843,br,tabira,Tabira,30,16926.0,-7.583333,-37.55
325845,br,taboao da serra,Taboão da Serra,27,214527.0,-23.6,-46.766667
325929,br,tabuleiro do norte,Tabuleiro do Norte,6,16633.0,-5.25,-38.116667
326000,br,taiobeiras,Taiobeiras,15,24351.0,-15.816667,-42.233333
326038,br,tamandare,Tamandaré,30,17954.0,-8.75,-35.1
326068,br,tambau,Tambaú,27,19957.0,-21.7,-47.266667
326078,br,tamboril,Tamboril,6,14292.0,-4.8333330000000005,-40.333333
326098,br,tanabi,Tanabi,27,18228.0,-20.616667,-49.616667
326106,br,tangua,Tanguá,21,23740.0,-22.733333,-42.716667
326173,br,tapaua,Tapauá,4,13211.0,-5.620278,-63.1875
326175,br,tapejara,Tapejara,18,10726.0,-23.683333,-52.88333299999999
326176,br,tapejara,Tapejara,23,14064.0,-28.066667,-52.0
326235,br,tapes,Tapes,23,18570.0,-30.666667,-51.383333
326246,br,tapiramuta,Tapiramutá,5,16549.0,-11.85,-40.783333
326315,br,taquara,Taquara,23,48052.0,-29.65,-50.783333
326334,br,taquari,Taquari,23,27108.0,-29.8,-51.85
326338,br,taquaritinga do norte,Taquaritinga do Norte,30,13379.0,-7.9,-36.05
326339,br,taquaritinga,Taquaritinga,27,50099.0,-21.4,-48.5
326341,br,taquarituba,Taquarituba,27,21493.0,-23.516667,-49.25
326359,br,tarauaca,Tarauacá,1,16526.0,-8.166667,-70.766667
326381,br,taruma,Tarumã,27,10337.0,-22.75,-50.566667
326398,br,tatui,Tatuí,27,93582.0,-23.346655,-47.848368
326433,br,taua,Tauá,6,29189.0,-5.966667,-40.3
326438,br,taubate,Taubaté,27,251647.0,-23.033333,-45.55
326469,br,tefe,Tefé,4,44943.0,-3.366667,-64.7
326492,br,telemaco borba,Telêmaco Borba,18,58880.0,-24.35,-50.616667
326523,br,teodoro sampaio,Teodoro Sampaio,27,15193.0,-22.516667,-52.166667
326526,br,teofilo otoni,Teófilo Otoni,15,101172.0,-17.85,-41.5
326540,br,teresina,Teresina,20,744526.0,-5.0833330000000005,-42.816667
326549,br,teresopolis,Teresópolis,21,123980.0,-22.424064,-42.968013
326571,br,terra boa,Terra Boa,18,12958.0,-23.75,-52.45
326590,br,terra nova,Terra Nova,5,11169.0,-12.366667,-40.666667
326603,br,terra rica,Terra Rica,18,10346.0,-22.716667,-52.63333299999999
326605,br,terra roxa,Terra Roxa,18,10911.0,-23.855708,-50.031397
326608,br,terra santa,Terra Santa,16,13512.0,-2.1,-56.483333
326646,br,teutonia,Teutônia,23,21834.0,-29.433333,-51.8
326665,br,tiangua,Tianguá,6,45697.0,-3.733333,-40.983333
326667,br,tibagi,Tibagi,18,12644.0,-24.5,-50.4
326684,br,tiete,Tietê,27,32062.0,-23.100174,-47.714392
326709,br,tijucas,Tijucas,26,22482.0,-27.241111,-48.631389
326732,br,timbauba,Timbaúba,30,45122.0,-7.516667,-35.31666699999999
326736,br,timbiras,Timbiras,13,17875.0,-4.25,-43.95
326746,br,timbo,Timbó,26,33766.0,-26.833333000000003,-49.3
326760,br,timon,Timon,13,124429.0,-5.1,-42.816667
326765,br,timoteo,Timóteo,15,91723.0,-19.583333,-42.666667
326818,br,tobias barreto,Tobias Barreto,28,29741.0,-11.183333,-38.016667
326829,br,tocantinopolis,Tocantinópolis,31,23383.0,-6.3244440000000015,-47.27777800000001
326833,br,tocantins,Tocantins,15,12876.0,-21.166667,-43.033333
326863,br,toledo,Toledo,18,97846.0,-24.733333,-53.75
326888,br,tome-acu,Tomé-Açu,16,34054.0,-2.416667,-48.15
326907,br,toritama,Toritama,30,23941.0,-8.016667,-36.066667
