	file	reportype	kind
167	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00166.gz	16019	MOBILE
168	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00167.gz	16019	MOBILE
169	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00168.gz	16019	MOBILE
170	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00169.gz	16019	MOBILE
171	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00170.gz	16019	MOBILE
172	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00171.gz	16019	MOBILE
173	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00172.gz	16019	MOBILE
174	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00173.gz	16019	MOBILE
175	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00174.gz	16019	MOBILE
176	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00175.gz	16019	MOBILE
177	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00176.gz	16019	MOBILE
178	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00177.gz	16019	MOBILE
179	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00178.gz	16019	MOBILE
180	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00179.gz	16019	MOBILE
181	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00180.gz	16019	MOBILE
182	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00181.gz	16019	MOBILE
183	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00182.gz	16019	MOBILE
184	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00183.gz	16019	MOBILE
185	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00184.gz	16019	MOBILE
186	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00185.gz	16019	MOBILE
187	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00186.gz	16019	MOBILE
188	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00187.gz	16019	MOBILE
189	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00188.gz	16019	MOBILE
190	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00189.gz	16019	MOBILE
191	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00190.gz	16019	MOBILE
192	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00191.gz	16019	MOBILE
193	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00192.gz	16019	MOBILE
194	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00193.gz	16019	MOBILE
195	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00194.gz	16019	MOBILE
196	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00195.gz	16019	MOBILE
197	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00196.gz	16019	MOBILE
198	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00197.gz	16019	MOBILE
199	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00198.gz	16019	MOBILE
200	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00199.gz	16019	MOBILE
201	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00200.gz	16019	MOBILE
202	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00201.gz	16019	MOBILE
203	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00202.gz	16019	MOBILE
204	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00203.gz	16019	MOBILE
205	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00204.gz	16019	MOBILE
206	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00205.gz	16019	MOBILE
207	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00206.gz	16019	MOBILE
208	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00207.gz	16019	MOBILE
209	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00208.gz	16019	MOBILE
210	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00209.gz	16019	MOBILE
211	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00210.gz	16019	MOBILE
212	/mnt/users/scratch/leo/scratch/era5/odbs//2/era5.conv._00211.gz	16019	MOBILE
