127.0.0.1, 2018-09-13 23:42:26, GET, /raobvis/static/css/institut.css, HTTP/1.1, 304, 0.000220
127.0.0.1, 2018-09-13 23:42:26, GET, /raobvis/static/css/global_style.css, HTTP/1.1, 304, 0.000349
127.0.0.1, 2018-09-13 23:42:26, GET, /raobvis/static/images/uni_logo.gif, HTTP/1.1, 304, 0.000289
127.0.0.1, 2018-09-13 23:42:26, GET, /raobvis/static/json/settings_basic.json, HTTP/1.1, 304, 0.000208
127.0.0.1, 2018-09-13 23:42:27, GET, /raobvis/static/json/settings_menutexts.json, HTTP/1.1, 304, 0.000198
127.0.0.1, 2018-09-13 23:42:27, GET, /raobvis/static/images/uni_siegel.gif, HTTP/1.1, 304, 0.000368
127.0.0.1, 2018-09-13 23:42:27, GET, /raobvis/static/json/settings_timeseries.json, HTTP/1.1, 304, 0.000301
127.0.0.1, 2018-09-13 23:42:31, GET, /raobvis/default/newindex, HTTP/1.1, 500, 2.923232
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.049766
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000387
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000308
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000294
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000229
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000227
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000247
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000229
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000307
127.0.0.1, 2018-09-13 23:43:41, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000227
127.0.0.1, 2018-09-13 23:43:54, GET, /raobvis/default/newindex, HTTP/1.1, 500, 3.116420
127.0.0.1, 2018-09-13 23:43:57, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-13.23-43-50.79703812-3bae-4c75-bb94-63ad1c6c8901, HTTP/1.1, 200, 0.011639
127.0.0.1, 2018-09-13 23:46:13, GET, /raobvis/, HTTP/1.1, 200, 0.009100
127.0.0.1, 2018-09-13 23:46:13, GET, /raobvis/static/js/richvis.retrievemenu.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2018-09-13 23:46:13, GET, /raobvis/static/js/richvis.js, HTTP/1.1, 304, 0.000218
127.0.0.1, 2018-09-13 23:46:13, GET, /raobvis/static/css/institut.css, HTTP/1.1, 304, 0.000251
127.0.0.1, 2018-09-13 23:46:13, GET, /raobvis/static/css/global_style.css, HTTP/1.1, 304, 0.000341
127.0.0.1, 2018-09-13 23:46:14, GET, /raobvis/static/images/uni_logo.gif, HTTP/1.1, 304, 0.000314
127.0.0.1, 2018-09-13 23:46:14, GET, /raobvis/static/json/settings_basic.json, HTTP/1.1, 304, 0.000210
127.0.0.1, 2018-09-13 23:46:14, GET, /raobvis/static/json/settings_menutexts.json, HTTP/1.1, 304, 0.000224
127.0.0.1, 2018-09-13 23:46:14, GET, /raobvis/static/images/uni_siegel.gif, HTTP/1.1, 304, 0.000370
127.0.0.1, 2018-09-13 23:46:14, GET, /raobvis/static/json/settings_timeseries.json, HTTP/1.1, 304, 0.000357
127.0.0.1, 2018-09-13 23:46:18, GET, /raobvis/default/newindex, HTTP/1.1, 500, 2.936342
127.0.0.1, 2018-09-13 23:46:41, GET, /raobvis/default/newindex, HTTP/1.1, 500, 1.857428
127.0.0.1, 2018-09-13 23:55:30, GET, /raobvis/default/newindex, HTTP/1.1, 200, 2.416911
127.0.0.1, 2018-09-13 23:55:30, GET, /raobvis/static/images/001001_bgdep_00_010-010_0.4365494319351805.svg, HTTP/1.1, 200, 0.000423
127.0.0.1, 2018-09-13 23:56:34, GET, /raobvis/static/json/settings_trendmaps.json, HTTP/1.1, 200, 0.000417
127.0.0.1, 2018-09-14 00:20:43, GET, /raobvis/, HTTP/1.1, 500, 0.328765
127.0.0.1, 2018-09-14 00:20:45, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-14.00-20-42.a9115b9f-fe81-4ed7-bc4f-56b03381a084, HTTP/1.1, 200, 0.114193
127.0.0.1, 2018-09-14 00:34:40, GET, /raobvis/, HTTP/1.1, 500, 0.039789
127.0.0.1, 2018-09-14 00:34:42, GET, /admin/default/ticket/raobvis/127.0.0.1.2018-09-14.00-34-40.fce2605f-9ede-4fc8-85dd-b8e2faf76389, HTTP/1.1, 200, 0.031484
127.0.0.1, 2018-09-14 00:58:48, GET, /raobvis/, HTTP/1.1, 200, 2.567350
127.0.0.1, 2018-09-14 00:58:48, GET, /raobvis/static/js/richvis.retrievemenu.js, HTTP/1.1, 304, 0.000306
127.0.0.1, 2018-09-14 00:58:48, GET, /raobvis/static/js/richvis.js, HTTP/1.1, 304, 0.000185
127.0.0.1, 2018-09-14 00:58:48, GET, /raobvis/static/css/institut.css, HTTP/1.1, 304, 0.000305
127.0.0.1, 2018-09-14 00:58:48, GET, /raobvis/static/css/global_style.css, HTTP/1.1, 304, 0.000299
