	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio
5062	0-20000-0-82861	CONCEICAO DO ARAGUAIA (82861-0)	-8.25	-49.28333333333333	157.0	Surface land meteorological station (SYNOP), GOS, CLIMAT(C), RBSN(S)	08 15 00S	049 17 00W	82861	999	999	False
5063	0-20000-0-82862	CONCEICAO DO ARAGUAIA (AERO)	-8.333333333333334	-49.3	194.0	Surface land meteorological station (SYNOP), GOS	08 20 00S	049 18 00W	82862	999	999	False
5064	0-20000-0-83589	CONCEICAO DO MATO DENTRO	-19.033333333333335	-43.43333333333333	675.0	Surface land meteorological station (SYNOP), GOS	19 02 00S	043 26 00W	83589	999	999	False
5065	0-20000-0-86639	CONDE	-11.811666666666667	-37.61611111111111	15.5	Surface land meteorological station (SYNOP), GOS	11 48 42S	037 36 58W	86639	999	999	False
5066	0-20000-0-83566	CONFINS (AERO)	-19.616666666666667	-43.96666666666667	828.0	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, RBSN(ST)	19 37 00S	043 58 00W	83566	999	999	True
5067	0-20000-0-86606	CONFRESA	-10.65388888888889	-51.566944444444445	238.5	Surface land meteorological station (SYNOP), GOS	10 39 14S	051 34 01W	86606	999	999	False
5068	0-20000-0-83718	CORDEIRO	-22.033333333333335	-42.36666666666667	485.0	Surface land meteorological station (SYNOP), RBSN(S), GOS	22 02 00S	042 22 00W	83718	999	999	False
5069	0-20000-0-83037	CORENEL PACHECO	-21.566666666666666	-43.25		Surface land meteorological station (SYNOP), GOS	21 34 00S	043 15 00W	83037	999	999	False
5070	0-76-0-3119609000000485	Coronel Pacheco	-21.546944444444446	-43.26111111111111		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	21 32 49S	043 15 40W	3119609000000485	999	999	False
5071	0-76-0-2202901000000579	Corrente	-10.429166666666665	-45.17305555555555		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	10 25 45S	045 10 23W	2202901000000579	999	999	False
5072	0-20000-0-83286	CORRENTINA (83286-0)	-13.466666666666667	-44.766666666666666	587.0	Surface land meteorological station (SYNOP), GOS	13 28 00S	044 46 00W	83286	999	999	False
5073	0-20000-0-86671	CORRENTINA (86671-0)	-13.332222222222223	-44.6175	550.5	Surface land meteorological station (SYNOP), GOS	13 19 56S	044 37 03W	86671	999	999	False
5074	0-20000-0-83552	CORUMBA (83552-0)	-19.083333333333332	-57.5	130.0	Climatological station, Surface land meteorological station (SYNOP), GOS, RBCN, CLIMAT(C)	19 05 00S	057 30 00W	83552	999	999	False
5075	0-20000-0-86767	CORUMBA (86767-0)	-18.996666666666666	-57.6375	127.5	Surface land meteorological station (SYNOP), GOS	18 59 48S	057 38 15W	86767	999	999	False
5076	0-20000-0-83554	CORUMBA (AERO)	-19.0	-57.666666666666664	142.0	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS	19 00 00S	057 40 00W	83554	999	999	True
5077	0-20000-0-86619	CORURIPE	-10.12861111111111	-36.28638888888889	75.5	Surface land meteorological station (SYNOP), GOS	10 07 43S	036 17 11W	86619	999	999	False
