	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file
66	0-20000-0-78073	0	67	78074	3	NASSAU AIRPORT NEW PROVIDENCE			0	-77.46666666666667	25.05		19620306	19630828	1	0	63	NMS	31	Nassau									[36, 85, 106, 107]							L.Haimberger	0	17.7		10.5	7.0	era5.7874.bfr
67	0-20000-0-48948	0	68	48948	3	SENO			0	105.0	16.666666666666668		19690909	19700525	1	0	63	NMS	125	Savannakhet									[36, 85, 106, 107]							L.Haimberger	0	0.4		29.8	185.0	era5.48948.bfr
68	0-20000-0-67283	0	69	67283	3	QUELIMANE			0	36.88333333333333	-17.883333333333333		19670603	19691018	1	0	63	NMS	158	Quelimane									[36, 85, 106, 107]							L.Haimberger	0	0.5		0.9	16.0	era5.67283.bfr
69	0-20000-0-80403	0	70	80403	3	CORO			0	-69.68333333333334	11.416666666666666		19740701	19740809	1	0	63	NMS	236	Coro									[36, 85, 106, 107]							L.Haimberger	0	2.6		3.7	17.0	era5.80403.bfr
70	0-20000-0-64550	0	71	64550	3	MOUILA			0	11.016666666666667	-1.8666666666666667		19740822	19740912	1	0	63	NMS	75	Mouila									[36, 85, 106, 107]							L.Haimberger	0	4.1		4.1	89.0	era5.64550.bfr
71	0-20000-0-41560	0	72	41560	3	PARACHINAR			0	70.08333333333333	33.86666666666667		19691018	19711028	1	0	63	NMS	177	Azrow									[36, 85, 106, 107]							L.Haimberger	0	4.0		51.8	1726.0	era5.41560.bfr
72	0-20000-0-08190	0	73	8181	3	BARCELONA SERVEI			0	2.118055555555556	41.38444444444444		19680705	19720126	1	0	63	NMS	67	El Prat De Llobregat									[36, 85, 106, 107]							L.Haimberger	0	12.0		5.5		era5.8181.bfr
73	0-20000-0-62700	0	74	62700	3	SHENDI			0	33.43333333333333	16.7		19740619	19740910	1	0	63	NMS	195	Khartoum									[36, 85, 106, 107]							L.Haimberger	0	3.6		154.0	360.0	era5.62700.bfr
74	0-20000-0-71946	0	75	71946	3	FORT SIMPSON A, NWT			0	-121.23666666666666	61.76027777777778		19620305	19620815	1	0	63	NMS	37	None									[36, 85, 106, 107]							L.Haimberger	0	5.5		None	169.2	era5.71946.bfr
75	0-20000-0-91601	0	76	40712	3	BUTARITARI			0	172.78333333333333	3.033333333333333		19650406	19650413	1	0	63	NMS	117	Bairiki									[36, 85, 106, 107]							L.Haimberger	0	5.5		195.4	1.0	era5.40712.bfr
