	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
1066	0-20000-0-88870	0	1067	88880	3	MOUNT BYRON			0	-60.56388888888888	-51.42388888888889		19851109	19851109	1	0	63	NMS	71	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	11.5		None	480.0	era5.conv._88880	OSCAR
1067	0-20000-0-41084	0	1068	40498	3	BISHA			0	42.63333333333333	19.98333333333333		19821105	19830609	1	0	63	NMS	192	Abha									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.1		194.9	1162.0	era5.conv._40498	OSCAR
1068	0-20000-0-28659	0	1069	28659	3	KURTAMYSH			0	64.43333333333334	54.91666666666666		20001229	20001229	1	0	63	NMS	190	Kurtamysh									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		1.1	157.77	era5.conv._28659	OSCAR
1069	0-20000-0-83746	0	1070	83744	3	GALEAO			0	-43.25	-22.816666666666663		19910222	19910222	1	0	63	NMS	30	Niteroi									[104, 105, 106, 107, 117]							L.Haimberger	0	29.9		18.7	75.0	era5.conv._83744	OSCAR
1070	0-20000-0-57426	0	1071	57426	3	LIANGPING			0	107.8	30.683333333333334		19810629	19810922	1	0	63	NMS	47	Wanxian									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	2.0		56.3	455.0	era5.conv._57426	OSCAR
1071	0-20000-0-29551	0	1072	29551	3	MARIINSK			0	87.68333333333334	56.18333333333333		19810605	19821126	1	0	63	NMS	190	Mariinsk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.5		1.6	144.14	era5.conv._29551	OSCAR
1072	0-20000-0-71421	0	1073	71421	3	LAC EON, QUE			0	-63.28333333333333	51.86722222222223		19830621	19830621	1	0	63	NMS	37	Sept-Iles									[104, 105, 106, 107, 117]							L.Haimberger	0	1.9		284.7	588.9	era5.conv._71421	OSCAR
1073	0-20000-0-41437	0	1074	41444	3	ATAQ			0	46.85	14.516666666666667		19840226	19900822	1	0	63	NMS	243	Lahij									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		267.4	1067.0	era5.conv._41444	OSCAR
1074	0-20000-0-01008	0	1075	1008	3	SVALBARD AP			0	15.466666666666669	78.25		20000519	20000519	1	0	63	NMS	200	None									[104, 105, 106, 107, 117]							L.Haimberger	0	0.1		None	26.82	era5.conv._01008	OSCAR
1075	0-20000-0-94870	0	1076	95865	3	MOORABBIN AIRPORT			0	145.0963888888889	-37.98		19800401	19800401	1	0	63	NMS	13	Cranbourne									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.6		18.6	12.7	era5.conv._95865	OSCAR
1076	0-20000-0-38475	0	1077	38475	3	ANDIZAN			0	72.31666666666666	40.73333333333333		19791120	19860102	1	0	63	NMS	233	Andijon									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.2		8.7	475.0	era5.conv._38475	OSCAR
1077	0-20000-0-71200	0	1078	71200	3	VICTORIA GONZALES CS, BC			0	-123.32472222222222	48.41333333333333		19810811	19810811	1	0	63	NMS	37	Victoria									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.8		2.7	69.0	era5.conv._71200	OSCAR
1078	0-20000-0-67753	0	1079	67753	3	CHOMA			0	27.066666666666663	-16.833333333333332		19971115	19971115	1	0	63	NMS	247	Choma									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		9.4	1278.0	era5.conv._67753	OSCAR
1079	0-20600-0-2692	0	1080	2594	3	(made up station ID) Eksta, Sweden			0	18.21	57.29		19830812	19900509	1	0	63	NMS	196	Visby									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	14.5		42.1	-999.0	era5.conv._02594	SCHROEDER
1080	0-20000-0-06700	0	1081	6700	3	GENEVE / COINTRIN			0	6.127777777777777	46.2475		19931022	19931022	1	0	63	NMS	42	Versoix									[104, 105, 106, 107, 117]							L.Haimberger	0	0.3		4.5	412.31	era5.conv._06700	OSCAR
1081	0-20000-0-27507	0	1082	27507	3	GAGARIN			0	35.03333333333333	55.516666666666666		19830620	19830620	1	0	63	NMS	190	Gzhatsk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		4.3	196.3	era5.conv._27507	OSCAR
1082	0-20000-0-67346	0	1083	67346	3	CHANGALANE			0	32.18333333333333	-26.28333333333333		19801206	19801206	1	0	63	NMS	158	Matola									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.5		44.9	104.0	era5.conv._67346	OSCAR
1083	0-20500-0-26440	0	1084	70292	3	TANACROSS CAA AIRPORT			0	-143.33	63.38		19790613	19790720	1	0	63	NMS	231	Fairbanks									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.1		269.2	458.1144000000001	era5.conv._70292	WBAN
1084	0-20000-0-47883	0	1085	47883	3	KOCHI AIRPORT			0	133.66944444444442	33.54611111111111		19880228	19940704	1	0	63	NMS	113	Aki									[104, 105, 106, 107, 117]							L.Haimberger	0	1.8		21.6	11.84	era5.conv._47883	OSCAR
1085	0-20000-0-71628	0	1086	71628	3	OTTAWA MACDONALD-CARTIER INT'L A, ONT			0	-75.66916666666667	45.322500000000005		19890516	19890926	1	0	63	NMS	37	Ottawa									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.3		11.0	114.0	era5.conv._71628	OSCAR
1086	0-20000-0-03385	0	1087	3396	3	DONNA NOOK NO 2			0	0.1527777777777777	53.47472222222223		19841210	19841210	1	0	63	NMS	76	Cleethorpes									[104, 105, 106, 107, 117]							L.Haimberger	0	10.8		10.4	8.0	era5.conv._03396	OSCAR
1087	0-20000-0-60410	0	1088	60410	3	TENES			0	1.3333333333333333	36.5		19800801	19951230	1	0	63	NMS	61	Sidi Ali									[104, 105, 106, 107, 117]							L.Haimberger	0	0.3		91.7	18.0	era5.conv._60410	OSCAR
1088	0-20000-0-06481	0	1089	6481	3	GENK			0	5.5	50.93333333333333		19920908	19920908	1	0	63	NMS	20	Genk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		4.1	63.0	era5.conv._06481	OSCAR
1089	0-20000-0-97722	0	1090	97722	3	AMAHAI			0	128.92805555555557	-3.346388888888889		19840817	19840817	1	0	63	NMS	100	Amahai									[104, 105, 106, 107, 117]							L.Haimberger	0	5.4		4.5	10.0	era5.conv._97722	OSCAR
1090	0-20000-0-72493	0	1091	72494	3	OAKLAND/METROP. OAKLAND INT., CA.			0	-122.22361111111113	37.74444444444445		19791004	19791004	1	0	63	NMS	231	Millbrae									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	19.5		2.4	5.0	era5.conv._72494	OSCAR
1091	0-20000-0-96477	0	1092	96477	3	KUDAT			0	116.83333333333331	6.916666666666667		19850104	20000125	1	0	63	NMS	157	Kudat									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.5		4.5	5.0	era5.conv._96477	OSCAR
1092	0-20000-0-04005	0	1093	4005	3	BOLUNGARVIK			0	-23.2525	66.1613888888889		19791205	19980504	1	0	63	NMS	108	Reykjavik									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.3		237.7	27.0	era5.conv._04005	OSCAR
1093	0-20000-0-47481	0	1094	47481	3	MEMAMBETSU AIRPORT			0	144.16416666666666	43.88055555555555		19790713	19790713	1	0	63	NMS	113	Bihoro									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	2.2		9.7	36.22	era5.conv._47481	OSCAR
1094	0-20700-0-38222	0	1095	38343	3	TOLE BI                  			0	73.0	43.0		19990413	19990413	1	0	63	NMS	124	Merke									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	21.1		36.0	-999.0	era5.conv._38343	WMO
1095	0-20000-0-42748	0	1096	42747	3	BARODA AERODROME			0	73.26666666666667	22.33333333333333		19800601	19800601	1	0	63	NMS	104	Vadodara									[104, 105, 106, 107, 117]							L.Haimberger	0	4.1		5.2	52.0	era5.conv._42747	OSCAR
1096	0-20000-0-08280	0	1097	8280	3	ALBACETE/LOS LLANOS			0	-1.8625	38.95166666666667		19821204	19920818	1	0	63	NMS	67	Albacete									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.1		5.1	704.0	era5.conv._08280	OSCAR
1097	0-20000-0-67983	0	1098	67983	3	CHIPINGE			0	32.61666666666667	-20.2		19810722	19840923	1	0	63	NMS	248	Chipinge									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.3		0.3	1132.0	era5.conv._67983	OSCAR
1098	0-20000-0-61497	0	1099	59675	3	NEMA			0	-7.266666666666667	16.6		19850907	19850907	1	0	63	NMS	150	Nara									[104, 105, 106, 107, 117]							L.Haimberger	0	0.4		158.6	269.0	era5.conv._59675	OSCAR
1099	0-20000-0-43410	0	1100	43410	3	MULLAITTIVU			0	80.81666666666666	9.266666666666667		19830929	20160730	1	0	63	NMS	129	Kilinochchi									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		48.3	-999.0	era5.conv._43410	OSCAR
1100	0-20000-0-41640	0	1101	41641	3	LAHORE CITY			0	74.33333333333333	31.55		19790717	19860305	1	0	63	NMS	177	Lahore									[104, 105, 106, 107, 117]							L.Haimberger	0	7.2		6.9	217.0	era5.conv._41641	OSCAR
