	date	counts
1006	1983-11-01	24759
1007	1983-12-01	25148
1008	1984-01-01	24873
1009	1984-02-01	23166
1010	1984-03-01	24753
1011	1984-04-01	23472
1012	1984-05-01	24680
1013	1984-06-01	23533
1014	1984-07-01	24276
1015	1984-08-01	24459
1016	1984-09-01	23928
1017	1984-10-01	24773
1018	1984-11-01	23990
1019	1984-12-01	24265
1020	1985-01-01	24426
1021	1985-02-01	21894
1022	1985-03-01	24109
1023	1985-04-01	23570
1024	1985-05-01	24089
1025	1985-06-01	22684
1026	1985-07-01	24282
1027	1985-08-01	23956
1028	1985-09-01	23368
1029	1985-10-01	24945
1030	1985-11-01	23910
1031	1985-12-01	24443
1032	1986-01-01	24523
1033	1986-02-01	22024
1034	1986-03-01	24823
1035	1986-04-01	23745
1036	1986-05-01	24714
1037	1986-06-01	23446
1038	1986-07-01	24232
1039	1986-08-01	23839
1040	1986-09-01	23851
1041	1986-10-01	25179
1042	1986-11-01	23769
1043	1986-12-01	24420
1044	1987-01-01	24422
1045	1987-02-01	22556
1046	1987-03-01	25120
1047	1987-04-01	24213
1048	1987-05-01	25069
1049	1987-06-01	24173
1050	1987-07-01	24669
1051	1987-08-01	24736
1052	1987-09-01	24119
1053	1987-10-01	24543
1054	1987-11-01	24209
1055	1987-12-01	24871
1056	1988-01-01	24571
1057	1988-02-01	22757
1058	1988-03-01	24267
1059	1988-04-01	23633
1060	1988-05-01	23948
1061	1988-06-01	23281
1062	1988-07-01	24259
1063	1988-08-01	24254
1064	1988-09-01	23518
1065	1988-10-01	24380
1066	1988-11-01	23758
1067	1988-12-01	24546
1068	1989-01-01	22348
1069	1989-02-01	20954
1070	1989-03-01	23203
1071	1989-04-01	22311
1072	1989-05-01	22892
1073	1989-06-01	21633
1074	1989-07-01	22526
1075	1989-08-01	21930
1076	1989-09-01	21632
1077	1989-10-01	21627
1078	1989-11-01	21442
1079	1989-12-01	22053
1080	1990-01-01	20658
1081	1990-02-01	20511
1082	1990-03-01	23263
1083	1990-04-01	22304
1084	1990-05-01	23034
1085	1990-06-01	22249
1086	1990-07-01	22879
1087	1990-08-01	23047
1088	1990-09-01	22005
1089	1990-10-01	22384
1090	1990-11-01	22052
1091	1990-12-01	22523
1092	1991-01-01	22504
1093	1991-02-01	20504
1094	1991-03-01	23095
1095	1991-04-01	21794
1096	1991-05-01	22854
1097	1991-06-01	21215
1098	1991-07-01	22393
1099	1991-08-01	22176
1100	1991-09-01	22025
1101	1991-10-01	22329
1102	1991-11-01	20952
1103	1991-12-01	21502
1104	1992-01-01	21465
1105	1992-02-01	20197
1106	1992-03-01	21922
1107	1992-04-01	21144
1108	1992-05-01	21959
1109	1992-06-01	21521
1110	1992-07-01	22248
1111	1992-08-01	22371
1112	1992-09-01	21821
1113	1992-10-01	22395
1114	1992-11-01	21853
1115	1992-12-01	22681
1116	1993-01-01	21890
1117	1993-02-01	20505
1118	1993-03-01	22800
1119	1993-04-01	22203
1120	1993-05-01	22649
1121	1993-06-01	21583
1122	1993-07-01	21739
1123	1993-08-01	21720
1124	1993-09-01	19284
1125	1993-10-01	21217
1126	1993-11-01	20136
1127	1993-12-01	20516
1128	1994-01-01	20466
1129	1994-02-01	17962
1130	1994-03-01	20746
1131	1994-04-01	20598
1132	1994-05-01	18137
1133	1994-06-01	19888
1134	1994-07-01	21390
1135	1994-08-01	21482
1136	1994-09-01	20555
1137	1994-10-01	21798
1138	1994-11-01	21550
1139	1994-12-01	22067
1140	1995-01-01	21206
1141	1995-02-01	19396
1142	1995-03-01	21622
1143	1995-04-01	21173
1144	1995-05-01	21819
1145	1995-06-01	20937
1146	1995-07-01	21773
1147	1995-08-01	21656
1148	1995-09-01	21173
1149	1995-10-01	22465
1150	1995-11-01	20659
