index	alternative_name	bbox_max_latitude	bbox_max_longitude	bbox_min_latitude	bbox_min_longitude	city	comment	contact	end_date	latitude	local_gravity	longitude	measuring_system_id	measuring_system_model	metadata_contact	metadata_contact_role	observed_variables	observing_frequency	operating_institute	operating_territory	optional_data	platform_sub_type	platform_type	primary_id	primary_id_scheme	record_number	reporting_time	role	secondary_id	start_date	station_abbreviation	station_automation	station_crs	station_name	station_type	telecommunication_method	file	secondary_id_scheme
b''	b'[]'	-21.25	-40.791678510050986	-22.25	-41.868325489949015	b'Campos'	b'NA'	b'NA'	b'1923-10-20'	-21.75	b'NA'	-41.33	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-83698'	b'5'	402	63	b'NA'	b'C:4890'	b'1923-02-13'	b'[]'	1	0	b'CAMPOS (83698-0)'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-83698_CEUAS_merged_v0.nc	
b''	b'[]'	24.129998999999998	94.96575837645659	23.129998999999998	93.87423762354342	b'Mawlaik'	b'NA'	b'NA'	b'1981-05-09'	23.63	b'NA'	94.42	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-48020'	b'5'	2206	63	b'NA'	48020	b'1981-05-09'	b'[]'	1	0	b'MAWLAIK'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-48020_CEUAS_merged_v0.nc	
b''	b'[]'	57.57	19.139769279179603	56.57	17.300228720820407	b'Visby'	b'NA'	b'NA'	b'1985-03-14'	57.07	b'NA'	18.22	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-02679'	b'5'	29	63	b'NA'	2599	b'1985-03-14'	b'[]'	1	0	b'HOBURG A'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-02679_CEUAS_merged_v0.nc	
b''	b'[]'	30.5	122.67734874331072	29.5	121.52264820493149	b'Dinghai'	b'NA'	b'NA'	b'1977-12-26'	30.0	b'NA'	122.1	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-58477'	b'5'	1762	63	b'NA'	b'1:58477'	b'1956-08-20'	b'[]'	1	0	b'DINGHAI'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-58477_CEUAS_merged_v0.nc	
b''	b'[]'	-3.570000171661377	139.4512610953356	-4.570000171661377	138.44873280114876	b'Vanimo'	b'NA'	b'NA'	b'1963-03-31'	-4.07	b'NA'	138.95	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-97686'	b'5'	3213	63	b'NA'	b'1:97686'	b'1960-04-04'	b'[]'	1	0	b'WAMENA'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-97686_CEUAS_merged_v0.nc	
b''	b'[]'	26.729999542236328	36.98739707958393	25.729999542236328	35.872603530767634	b'Umm Lajj'	b'NA'	b'NA'	b'1977-12-30'	26.23	b'NA'	36.43	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-40400'	b'5'	1107	63	b'NA'	b'1:40400'	b'1972-03-28'	b'[]'	1	0	b'AL-WEJH'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-40400_CEUAS_merged_v0.nc	
b''	b'[]'	48.650002	17.849419865572894	47.650002	16.35058013442711	b'Bratislava'	b'NA'	b'NA'	b'1934-06-28'	48.15	b'NA'	17.1	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-11816'	b'5'	1235	63	b'NA'	b'C:5647'	b'1922-09-02'	b'[]'	1	0	b'BRATISLAVA-LETISKO'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-11816_CEUAS_merged_v0.nc	
b''	b'[]'	42.13000106811523	26.06894037635375	41.13000106811523	24.731058860706803	b'Haskovo'	b'NA'	b'NA'	b'1977-12-31'	41.63	b'NA'	25.4	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-15730'	b'5'	510	63	b'NA'	b'1:15730'	b'1966-10-25'	b'[]'	1	0	b'KURDJALI'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-15730_CEUAS_merged_v0.nc	
b''	b'[]'	-31.450001	-64.5407288961937	-32.450001	-65.71926510380631	b'Alta Gracia'	b'NA'	b'NA'	b'1979-07-14'	-31.95	b'NA'	-65.13	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-87328'	b'5'	4145	63	b'NA'	87328	b'1979-07-14'	b'[]'	1	0	b'VILLA DOLORES AERO'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-87328_CEUAS_merged_v0.nc	
b''	b'[]'	20.549999	145.75225914342917	19.549999	144.68774285657082	b'Shimoda'	b'NA'	b'NA'	b'2005-01-15'	20.05	b'NA'	145.22	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-91234'	b'5'	3911	63	b'NA'	91234	b'2005-01-15'	b'[]'	1	0	b'MAUG AWS,  MARIANA IS.'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-91234_CEUAS_merged_v0.nc	
