	stat	lat	lon	raw	adj
437	GQM00091212	13.4767	144.79	-1.0700652428980162	-0.08866874856615896
438	GRM00016622	40.5272	22.97	0.030215827338129414	0.08211402069754518
439	GRM00016716	37.8897	23.74	-0.03362831858407048	-0.5395282756614439
440	GRM00016754	35.3353	25.18	0.10695968460250711	0.10695968460250711
441	GTM00078641	14.5333	-90.56		
442	HKM00045004	22.3272	114.16	-0.04409221902017339	-0.04409221902017339
443	HOM00078501	17.4	-83.93		
444	HOM00078720	14.05	-87.25		
445	HRM00014240	45.8219	16.03	-0.14788937409024724	-0.024860809637100814
446	HRM00014430	44.0969	15.34	-0.020955315870570056	-0.42939120676190035
447	HUM00012843	47.4333	19.18	0.060060975609755284	-0.16940082922214644
448	HUM00012982	46.25	20.1		
449	ICM00004018	63.9806	-22.59	0.11585816910017717	-0.6696056479838761
450	ICM00004089	65.2833	-14.4		
451	IDM00096035	3.6403	98.87	-0.228332994249132	-0.6910847167968981
452	IDM00096147	3.95	108.38	0.24932444804423504	0.41868154164905946
453	IDM00096163	-0.7883	100.28	0.3713348273944142	0.21768820626395335
454	IDM00096237	-2.1667	106.13	-0.5526261393229164	0.26208808051216875
455	IDM00096749	-6.1167	106.65	-0.0909166768391925	-0.005504079182942405
456	IDM00096935	-7.3772	112.79	-0.1404596157731682	0.8413836740077448
457	IDM00097014	1.5333	124.91	0.11845906902086711	-0.1489663407278571
458	IDM00097072	-0.6833	119.73	-0.6724549558110337	0.27897201203066496
459	IDM00097180	-5.0667	119.55	-0.9247079693389773	-0.12565077251033288
460	IDM00097372	-10.1667	123.66	-0.8296441250160087	0.2558417648566108
461	IDM00097560	-1.1833	136.11	-2.0516666539510093	-0.07272692362466339
462	IDM00097724	-3.7	128.08	-0.06459143968871515	0.11112877515503772
463	IDM00097980	-8.4667	140.38		
464	INM00042027	34.0833	74.83	0.01840490797545873	0.23775305250671777
465	INM00042101	30.3333	76.46		
466	INM00042103	30.3833	76.76		
467	INM00042182	28.5833	77.2	1.056384968929154	-0.15632133209447896
468	INM00042314	27.4833	95.01	-0.35294117647059103	-0.35294117647059103
469	INM00042339	26.3	73.01	1.8463414634146338	0.8607393590415109
470	INM00042361	26.2333	78.25		
471	INM00042369	26.75	80.88	-0.8963503649635042	-0.14304537807937576
472	INM00042379	26.75	83.36		
473	INM00042397	26.6667	88.36		
474	INM00042410	26.1	91.58		
475	INM00042492	25.6	85.16	0.02719291106999432	0.35689872161690617
476	INM00042647	23.0667	72.63		
477	INM00042667	23.2833	77.35		
478	INM00042701	23.3167	85.31		
479	INM00042724	23.8833	91.25		
480	INM00042779	22.767	81.9		
481	INM00042809	22.65	88.45	-1.0280701754385948	-1.9876832125479247
482	INM00042867	21.1	79.05		
483	INM00042874	21.2333	81.65		
484	INM00042971	20.25	85.83	-0.7290707610374274	1.272149942087605
485	INM00043003	19.1167	72.85		
486	INM00043014	19.85	75.4		
487	INM00043041	19.0833	82.03		
488	INM00043128	17.45	78.46	-0.09611650485436912	-0.8470205955134743
489	INM00043150	17.6833	83.3	-0.11076923076923191	-0.020907170222320175
490	INM00043185	16.2	81.15	-2.6077973252042717	1.7090082851025306
491	INM00043192	15.4833	73.81	0.23818181818181602	0.22477134011011748
492	INM00043279	13.0	80.18	0.4297397769516735	-0.5552394710952077
493	INM00043285	12.95	74.83		
494	INM00043295	12.9667	77.58	0.6394112620634211	0.15699340820309526
